ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
51339,DACT1,6,Q9NYF0
51649,MRPS23,24,Q9Y3D9
51661,FKBP7,3,Q9Y680
51714,SELT,4,P62341
54460,MRPS21,19,P82921
54998,AURKAIP1,4,Q9NWT8
55226,NAT10,35,Q9H0A0
55303,GIMAP4,6,Q9NUV9
55847,CISD1,33,Q9NZ45
55907,CMAS,30,Q8NFW8
56255,TMX4,3,Q9H1E5
56262,LRRC8A,39,Q8IWT6
57099,AVEN,3,Q9NQS1
57129,MRPL47,3,Q9HD33
57497,LRFN2,5,Q9ULH4
58477,SRPRB,36,Q9Y5M8
64064,OXCT2,3,Q9BYC2
64969,MRPS5,18,P82675
66008,TRAK2,6,O60296
81502,HM13,48,Q8TCT9
83440,ADPGK,31,Q9BRR6
84270,C9orf89,4,Q96LW7
84446,BRSK1,4,Q8TDC3
89781,HPS4,4,Q9NQG7
92140,MTDH,31,Q86UE4
94005,PIGS,27,Q96S52
113457,TUBA3D,22,P0DPH8
114294,LACTB,31,P83111
128869,PIGU,26,Q9H490
138803,OR13C3,3,Q8NGS6
139422,MAGEB10,3,Q96LZ2
140801,RPL10L,24,Q96L21
148479,PHF13,3,Q86YI8
154807,VKORC1L1,32,Q8N0U8
161424,NOP9,4,Q86U38
170575,GIMAP1,4,Q8WWP7
220164,DOK6,3,Q6PKX4
222484,LNX2,3,Q8N448
285601,GPR150,4,Q8NGU9
340075,ARSI,22,Q5FYB1
343069,HNRNPCL1,19,O60812
182,JAG1,31,P78504
1515,CTSL2,20,O60911
2551,GABPA,2,Q06546
3914,LAMB3,38,Q13751
5650,KLK7,3,P49862
6405,SEMA3F,16,Q13275
11202,KLK8,2,O60259
25818,KLK5,6,Q9Y337
55901,THSD1,2,Q9NS62
132789,GNPDA2,20,Q8TDQ7
200315,APOBEC3A,3,P31941
374918,IGFL1,2,Q6UW32
100913187,APOBEC3A_B,3,P31941
1066,CES1,31,P23141
1595,CYP51A1,10,Q16850
2117,ETV3,4,P41162
2217,FCGRT,10,P55899
2784,GNB3,16,P16520
2969,GTF2I,25,P78347
3551,IKBKB,36,O14920
3714,JAG2,4,Q9Y219
4173,MCM4,48,P33991
5557,PRIM1,25,P49642
5984,RFC4,40,P35249
6730,SRP68,64,Q9UHB9
9145,SYNGR1,21,O43759
9181,ARHGEF2,45,Q92974
9780,PIEZO1,31,Q92508
10063,COX17,19,Q14061
10147,SUGP2,6,Q8IX01
10280,SIGMAR1,28,Q99720
10929,SRSF8,10,Q9BRL6
23067,SETD1B,6,Q9UPS6
23225,NUP210,31,Q8TEM1
23266,LPHN2,31,O95490
23467,NPTXR,4,O95502
26073,POLDIP2,27,Q9Y2S7
51170,HSD17B11,28,Q8NBQ5
51209,RAB9B,6,Q9NP90
51316,PLAC8,32,Q9NZF1
51642,MRPL48,24,Q96GC5
54205,CYCS,37,P99999
54888,NSUN2,34,Q08J23
54901,CDKAL1,4,Q5VV42
54928,IMPAD1,31,Q9NX62
54941,RNF125,4,Q96EQ8
55037,PTCD3,19,Q96EY7
55630,SLC39A4,26,Q6P5W5
55858,TMEM165,36,Q9HC07
57505,AARS2,22,Q5JTZ9
58505,OSTC,26,Q9NRP0
65005,MRPL9,21,Q9BYD2
65012,SLC26A10,4,Q8NG04
78991,PCYOX1L,29,Q8NBM8
79084,WDR77,43,Q9BQA1
79295,OR5H6,4,Q8NGV6
79568,C2orf47,21,Q8WWC4
79888,LPCAT1,19,Q8NF37
81037,CLPTM1L,20,Q96KA5
84233,TMEM126A,14,Q9H061
113402,SFT2D1,20,Q8WV19
120224,TMEM45B,6,Q96B21
133686,NADKD1,23,Q4G0N4
203547,VMA21,29,Q3ZAQ7
327657,SERPINA9,5,Q86WD7
339501,PRSS38,4,A1L453
339768,ESPNL,4,Q6ZVH7
346689,KLRG2,26,A4D1S0
390667,PTX4,4,Q96A99
440026,TMEM41B,33,Q5BJD5
641649,TMEM91,4,Q6ZNR0
729877,TBC1D3H,4,P0C7X1
287,ANK2,6,Q01484
617,BCS1L,19,Q9Y276
837,CASP4,16,P49662
995,CDC25C,4,P30307
1051,CEBPB,1,P17676
1230,CCR1,30,P32246
1770,DNAH9,9,Q9NYC9
1894,ECT2,4,Q9H8V3
2521,FUS,30,P35637
2998,GYS2,6,P54840
3357,HTR2B,2,P41595
3635,INPP5D,35,Q92835
3726,JUNB,12,P17275
3750,KCND1,2,Q9NSA2
3811,KIR3DL1,1,P43629
4139,MARK1,1,Q9P0L2
4236,MFAP1,1,P55081
4774,NFIA,2,Q12857
4821,NKX2-2,1,O95096
4952,OCRL,8,Q01968
5255,PHKA1,18,P46020
5294,PIK3CG,16,P48736
5347,PLK1,27,P53350
5618,PRLR,1,P16471
5798,PTPRN,1,Q16849
5924,RASGRF2,2,O14827
6103,RPGR,2,Q92834
6196,RPS6KA2,10,Q15349
6343,SCT,1,P09683
6368,CCL23,1,P55773
6491,STIL,1,Q15468
6775,STAT4,1,Q14765
6873,TAF2,2,Q6P1X5
7158,TP53BP1,9,Q12888
7181,NR2C1,1,P13056
7517,XRCC3,1,O43542
7739,ZNF185,23,O15231
7941,PLA2G7,3,Q13093
8022,LHX3,2,Q9UBR4
8074,FGF23,1,Q9GZV9
8237,USP11,7,P51784
8501,SLC43A1,20,O75387
9348,NDST3,2,O95803
9382,COG1,26,Q8WTW3
9688,NUP93,38,Q8N1F7
9762,PROSAPIP1,8,O60299
9794,MAML1,4,Q92585
9820,CUL7,2,Q14999
9858,PPP1R26,2,Q5T8A7
9890,LPPR4,1,Q7Z2D5
9905,SGSM2,1,O43147
9935,MAFB,1,Q9Y5Q3
10107,TRIM10,4,Q9UDY6
10153,CEBPZ,20,Q03701
10233,LRRC23,1,Q53EV4
10260,DENND4A,25,Q7Z401
10276,NET1,1,Q7Z628
10343,PKDREJ,6,Q9NTG1
10635,RAD51AP1,1,Q96B01
10847,SRCAP,6,Q6ZRS2
10908,PNPLA6,9,Q8IY17
10915,TCERG1,6,O14776
11056,DDX52,1,Q9Y2R4
11100,HNRNPUL1,21,Q9BUJ2
11180,WDR6,27,Q9NNW5
22899,ARHGEF15,1,O94989
22904,SBNO2,1,Q9Y2G9
22906,TRAK1,1,Q9UPV9
23001,WDFY3,24,Q8IZQ1
23024,PDZRN3,1,Q9UPQ7
23049,SMG1,27,Q96Q15
23198,PSME4,29,Q14997
23300,ATMIN,3,O43313
23369,PUM2,2,Q8TB72
23400,ATP13A2,2,Q9NQ11
23418,CRB1,24,P82279
23510,KCTD2,3,Q14681
24149,ZNF318,3,Q5VUA4
26157,GIMAP2,1,Q9UG22
26166,RGS22,2,Q8NE09
26263,FBXO22,2,Q8NEZ5
26353,HSPB8,2,Q9UJY1
27352,SGSM3,3,Q96HU1
29893,PSMC3IP,1,Q9P2W1
29985,SLC39A3,18,Q9BRY0
30813,VSX1,1,Q9NZR4
49856,WRAP73,11,Q9P2S5
51655,RASD1,1,Q9Y272
51710,ZNF44,1,P15621
53919,SLCO1C1,1,Q9NYB5
54014,BRWD1,8,Q9NSI6
54456,MOV10L1,2,Q9BXT6
54475,NLE1,18,Q9NVX2
54549,SDK2,4,Q58EX2
54657,UGT1A4,1,P22310
54658,UGT1A1,1,P22309
54707,GPN2,25,Q9H9Y4
54737,MPHOSPH8,2,Q99549
54784,ALKBH4,1,Q9NXW9
54897,CASZ1,2,Q86V15
55140,ELP3,26,Q9H9T3
55342,STRBP,13,Q96SI9
55511,SAGE1,4,Q9NXZ1
55750,AGK,22,Q53H12
55805,LRP2BP,3,Q9P2M1
55917,CTTNBP2NL,2,Q9P2B4
56001,NXF2,1,Q9GZY0
56919,DHX33,1,Q9H6R0
56987,BBX,2,Q8WY36
57475,PLEKHH1,2,Q9ULM0
57510,XPO5,43,Q9HAV4
57679,ALS2,2,Q96Q42
57690,TNRC6C,2,Q9HCJ0
64324,NSD1,6,Q96L73
64682,ANAPC1,29,Q9H1A4
64753,CCDC136,3,Q96JN2
79034,C7orf26,1,Q96N11
79665,DHX40,1,Q8IX18
79725,THAP9,3,Q9H5L6
79741,C10orf68,15,Q96M83
79780,CCDC82,1,Q8N4S0
79858,NEK11,5,Q8NG66
80315,CPEB4,1,Q17RY0
80832,APOL4,1,Q9BPW4
83447,SLC25A31,5,Q9H0C2
83606,C22orf13,24,Q96NT3
83642,SELO,17,Q9BVL4
83889,WDR87,13,Q6ZQQ6
83992,CTTNBP2,8,Q8WZ74
84109,QRFPR,1,Q96P65
84159,ARID5B,3,Q14865
84630,TTBK1,2,Q5TCY1
84631,SLITRK2,1,Q9H156
84706,GPT2,17,Q8TD30
84787,SUV420H2,1,Q86Y97
84865,CCDC142,2,Q17RM4
84939,MUM1,1,Q2TAK8
85441,PRIC285,29,Q9BYK8
85464,SSH2,19,Q76I76
85479,DNAJC5B,1,Q9UF47
90167,FRMD7,1,Q6ZUT3
90231,KIAA2013,21,Q8IYS2
90313,TP53I13,3,Q8NBR0
91662,NLRP12,1,P59046
94240,EPSTI1,1,Q96J88
114789,SLC25A25,4,Q6KCM7
114798,SLITRK1,2,Q96PX8
116840,CNTROB,19,Q8N137
116983,ACAP3,3,Q96P50
116986,AGAP2,5,Q99490
117145,THEM4,1,Q5T1C6
120425,AMICA1,1,Q86YT9
120534,C11orf46,1,Q8N8R7
123169,LEO1,1,Q8WVC0
126626,GABPB2,3,Q8TAK5
127707,KLHDC7A,2,Q5VTJ3
133522,PPARGC1B,1,Q86YN6
134265,AFAP1L1,2,Q8TED9
138639,PTPDC1,3,A2A3K4
139324,HDX,2,Q7Z353
144195,SLC2A14,22,Q8TDB8
146279,TEKT5,3,Q96M29
147746,HIPK4,1,Q8NE63
157680,VPS13B,4,Q7Z7G8
161823,ADAL,3,Q6DHV7
199720,GGN,3,Q86UU5
200576,PIKFYVE,1,Q9Y2I7
221476,PI16,1,Q6UXB8
222194,RSBN1L,4,Q6PCB5
222584,FAM83B,18,Q5T0W9
253558,LCLAT1,18,Q6UWP7
257218,SHPRH,7,Q149N8
283489,CHAMP1,25,Q96JM3
285331,CCDC66,8,A2RUB6
285753,CEP57L1,1,Q8IYX8
286148,DPY19L4,2,Q7Z388
338596,ST8SIA6,1,P61647
339451,KLHL17,17,Q6TDP4
341405,ANKRD33,1,Q7Z3H0
387357,THEMIS,20,Q8N1K5
388722,C1orf53,1,Q5VUE5
401124,DTHD1,1,Q6ZMT9
442117,GALNTL6,1,Q49A17
653067,XAGE1E,17,Q9HD64
653220,XAGE1B,1,Q9HD64
728343,NXF2B,1,Q9GZY0
115908,CTHRC1,23,Q96CG8
116337,PANX3,1,Q96QZ0
162466,PHOSPHO1,5,Q8TCT1
286410,ATP11C,23,Q8NB49
338773,TMEM119,21,Q4V9L6
580,BARD1,2,Q99728
1069,CETN2,20,P41208
1310,COL19A1,23,Q14993
2691,GHRH,1,P01286
3172,HNF4A,2,P41235
3785,KCNQ2,1,O43526
3897,L1CAM,46,P32004
3955,LFNG,21,Q8NES3
4739,NEDD9,4,Q14511
5116,PCNT,8,O95613
6594,SMARCA1,22,P28370
6757,SSX2,1,Q16385
8880,FUBP1,35,Q96AE4
10769,PLK2,3,Q9NYY3
11037,STON1,1,Q9Y6Q2
23560,GTPBP4,22,Q9BZE4
25790,CCDC19,21,Q9UL16
25901,CCDC28A,1,Q8IWP9
27246,RNF115,2,Q9Y4L5
29078,NDUFAF4,18,Q9P032
50964,SOST,4,Q9BQB4
54943,DNAJC28,1,Q9NX36
55217,TMLHE,1,Q9NVH6
55614,KIF16B,4,Q96L93
56675,NRIP3,1,Q9NQ35
57720,GPR107,20,Q5VW38
79723,SUV39H2,1,Q9H5I1
80345,ZSCAN16,1,Q9H4T2
81550,TDRD3,3,Q9H7E2
84515,MCM8,6,Q9UJA3
114131,UCN3,1,Q969E3
122651,RNASE11,1,Q8TAA1
122664,TPPP2,1,P59282
219749,ZNF25,1,P17030
286749,STON1-GTF2A1L,1,Q9Y6Q2
727837,SSX2B,1,Q16385
9666,DZIP3,3,Q86Y13
207,AKT1,27,P31749
540,ATP7B,5,P35670
659,BMPR2,5,Q13873
1018,CDK3,20,Q00526
1019,CDK4,20,P11802
1025,CDK9,37,P50750
1104,RCC1,33,P18754
1108,CHD4,35,Q14839
1182,CLCN3,19,P51790
1183,CLCN4,2,P51793
1201,CLN3,20,Q13286
1456,CSNK1G3,34,Q9Y6M4
1487,CTBP1,21,Q13363
1741,DLG3,21,Q92796
1841,DTYMK,42,P23919
2066,ERBB4,29,Q15303
2530,FUT8,21,Q9BYC5
2535,FZD2,26,Q14332
3054,HCFC1,40,P51610
3066,HDAC2,34,Q92769
3068,HDGF,28,P51858
3459,IFNGR1,25,P15260
3480,IGF1R,37,P08069
3831,KLC1,42,Q07866
3898,LAD1,18,O00515
3978,LIG1,25,P18858
4134,MAP4,46,P27816
4140,MARK3,23,P27448
4154,MBNL1,21,Q9NR56
4171,MCM2,52,P49736
4174,MCM5,40,P33992
4232,MEST,21,Q5EB52
4324,MMP15,21,P51511
4486,MST1R,35,Q04912
4678,NASP,29,P49321
4791,NFKB2,25,Q00653
4927,NUP88,23,Q99567
5029,P2RY2,21,P41231
5471,PPAT,39,Q06203
5496,PPM1G,27,O15355
5527,PPP2R5C,34,Q13362
5537,PPP6C,46,O00743
5599,MAPK8,6,P45983
5723,PSPH,36,P78330
5771,PTPN2,21,P17706
5928,RBBP4,60,Q09028
5931,RBBP7,48,Q16576
5936,RBM4,23,Q9BWF3
5983,RFC3,27,P40938
5985,RFC5,28,P40937
6240,RRM1,55,P23921
6242,RTKN,10,Q9BST9
6429,SRSF4,27,Q08170
6533,SLC6A6,32,P31641
6536,SLC6A9,28,P48067
6560,SLC12A4,33,Q9UP95
6598,SMARCB1,24,Q12824
6599,SMARCC1,30,Q92922
6601,SMARCC2,32,Q8TAQ2
6605,SMARCE1,24,Q969G3
6606,SMN1,20,Q16637
6607,SMN2,4,Q16637
6616,SNAP25,27,P60880
6629,SNRPB2,22,P08579
6674,SPAG1,5,Q07617
6829,SUPT5H,23,O00267
6868,ADAM17,28,P78536
6905,TBCE,26,Q15813
6917,TCEA1,26,P23193
6949,TCOF1,22,Q13428
7011,TEP1,40,Q99973
7155,TOP2B,41,Q02880
7225,TRPC6,2,Q9Y210
7253,TSHR,3,P16473
7357,UGCG,30,Q16739
7812,CSDE1,30,O75534
8175,SF3A2,28,Q15428
8324,FZD7,26,O75084
8467,SMARCA5,17,O60264
8498,RANBP3,6,Q9H6Z4
8518,IKBKAP,27,O95163
8520,HAT1,35,O14929
8575,PRKRA,31,O75569
8601,RGS20,34,O76081
8624,PSMG1,27,O95456
8677,STX10,25,O60499
8692,HYAL2,27,Q12891
8841,HDAC3,26,O15379
8874,ARHGEF7,36,Q14155
8883,NAE1,32,Q13564
9074,CLDN6,18,P56747
9184,BUB3,58,O43684
9213,XPR1,21,Q9UBH6
9219,MTA2,36,O94776
9253,NUMBL,4,Q9Y6R0
9265,CYTH3,6,O43739
9319,TRIP13,34,Q15645
9334,B4GALT5,28,O43286
9454,HOMER3,29,Q9NSC5
9527,GOSR1,26,O95249
9653,HS2ST1,3,Q7LGA3
9772,KIAA0195,2,Q12767
9918,NCAPD2,41,Q15021
9933,KIAA0020,28,Q15397
9950,GOLGA5,6,Q8TBA6
9984,THOC1,21,Q96FV9
9990,SLC12A6,12,Q9UHW9
10011,SRA1,23,Q9HD15
10055,SAE1,20,Q9UBE0
10111,RAD50,29,Q92878
10137,RBM12,4,Q9NTZ6
10252,SPRY1,4,O43609
10284,SAP18,25,O00422
10436,EMG1,23,Q92979
10514,MYBBP1A,24,Q9BQG0
10658,CELF1,30,Q92879
10670,RRAGA,26,Q7L523
10675,CSPG5,3,O95196
10785,WDR4,23,P57081
10802,SEC24A,33,O95486
10916,MAGED2,28,Q9UNF1
10992,SF3B2,33,Q13435
11054,OGFR,8,Q9NZT2
11124,FAF1,27,Q9UNN5
11146,GLMN,27,Q92990
11196,SEC23IP,30,Q9Y6Y8
11285,B4GALT7,6,Q9UBV7
22803,XRN2,29,Q9H0D6
22822,PHLDA1,39,Q8WV24
22826,DNAJC8,25,O75937
22913,RALY,48,Q9UKM9
23019,CNOT1,54,A5YKK6
23028,KDM1A,31,O60341
23165,NUP205,26,Q92621
23204,ARL6IP1,31,Q15041
23212,RRS1,26,Q15050
23234,DNAJC9,24,Q8WXX5
23284,LPHN3,3,Q9HAR2
23350,U2SURP,13,O15042
23468,CBX5,26,P45973
23517,SKIV2L2,34,P42285
23545,ATP6V0A2,22,Q9Y487
23708,GSPT2,27,Q8IYD1
23779,ARHGAP8,8,P85298
24145,PANX1,25,Q96RD7
24148,PRPF6,24,O94906
25929,GEMIN5,33,Q8TEQ6
25940,FAM98A,26,Q8NCA5
25963,TMEM87A,27,Q8NBN3
26121,PRPF31,23,Q8WWY3
26128,KIAA1279,29,Q96EK5
26504,CNNM4,28,Q6P4Q7
26973,CHORDC1,33,Q9UHD1
27000,DNAJC2,30,Q99543
27043,PELP1,32,Q8IZL8
27143,KIAA1274,28,Q9ULE6
27336,HTATSF1,19,O43719
27339,PRPF19,53,Q9UMS4
28231,SLCO4A1,23,Q96BD0
28969,BZW2,38,Q9Y6E2
28982,FLVCR1,33,Q9Y5Y0
29086,BABAM1,21,Q9NWV8
29894,CPSF1,21,Q10570
29995,LMCD1,3,Q9NZU5
51162,EGFL7,19,Q9UHF1
51194,IPO11,29,Q9UI26
51202,DDX47,26,Q9H0S4
51290,ERGIC2,22,Q96RQ1
51377,UCHL5,28,Q9Y5K5
51422,PRKAG2,4,Q9UGJ0
51433,ANAPC5,28,Q9UJX4
51593,SRRT,35,Q9BXP5
53373,TPCN1,19,Q9ULQ1
54503,ZDHHC13,3,Q8IUH4
54514,DDX4,7,Q9NQI0
54629,FAM63B,2,Q8NBR6
54845,ESRP1,23,Q6NXG1
54893,MTMR10,9,Q9NXD2
54919,HEATR2,36,Q86Y56
55144,LRRC8D,25,Q7L1W4
55273,TMEM100,23,Q9NV29
55280,CWF19L1,2,Q69YN2
55299,BRIX1,21,Q8TDN6
55334,SLC39A9,3,Q9NUM3
55339,WDR33,5,Q9C0J8
55362,TMEM63B,19,Q5T3F8
55366,LGR4,25,Q9BXB1
55644,OSGEP,25,Q9NPF4
55681,SCYL2,17,Q6P3W7
55692,LUC7L,5,Q9NQ29
55697,VAC14,28,Q08AM6
55789,DEPDC1B,2,Q8WUY9
55830,GLT8D1,38,Q68CQ7
55860,ACTR10,27,Q9NZ32
56649,TMPRSS4,24,Q9NRS4
56683,C21orf59,19,P57076
56889,TM9SF3,28,Q9HD45
56951,C5orf15,28,Q8NC54
56984,PSMG2,32,Q969U7
57085,AGTRAP,25,Q6RW13
57192,MCOLN1,3,Q9GZU1
57213,SPRYD7,24,Q5W111
57418,WDR18,26,Q9BV38
57468,SLC12A5,9,Q9H2X9
57537,SORCS2,5,Q96PQ0
57552,NCEH1,38,Q6PIU2
57565,KLHL14,3,Q9P2G3
57669,EPB41L5,41,Q9HCM4
60626,RIC8A,40,Q9NPQ8
60678,EEFSEC,3,P57772
63893,UBE2O,37,Q9C0C9
63971,KIF13A,29,Q9H1H9
64121,RRAGC,30,Q9HB90
64710,NUCKS1,3,Q9H1E3
64746,ACBD3,37,Q9H3P7
65010,SLC26A6,27,Q9BXS9
78992,YIPF2,2,Q9BWQ6
79077,DCTPP1,22,Q9H773
79811,SLTM,19,Q9NWH9
80115,BAIAP2L2,3,Q6UXY1
80131,LRRC8E,30,Q6NSJ5
80155,NAA15,52,Q9BXJ9
80335,WDR82,26,Q6UXN9
80895,ILKAP,25,Q9H0C8
81544,GDPD5,22,Q8WTR4
83666,PARP9,26,Q8IXQ6
83959,SLC4A11,23,Q8NBS3
84216,TMEM117,3,Q9H0C3
84243,ZDHHC18,4,Q9NUE0
84306,PDCD2L,22,Q9BRP1
84317,CCDC115,2,Q96NT0
84823,LMNB2,26,Q03252
84904,C9orf100,20,Q8N4T4
84910,TMEM87B,5,Q96K49
84961,FBXL20,8,Q96IG2
85415,RHPN2,26,Q8IUC4
85439,STON2,9,Q8WXE9
85461,TANC1,24,Q9C0D5
90522,YIF1B,19,Q5BJH7
90809,TMEM55B,24,Q86T03
90861,HN1L,25,Q9H910
92092,ZC3HAV1L,6,Q96H79
92521,SPECC1,4,Q5M775
112858,TP53RK,23,Q96S44
113178,SCAMP4,35,Q969E2
115290,FBXO17,2,Q96EF6
117247,SLC16A10,23,Q8TF71
126353,C19orf21,23,Q8IVT2
143098,MPP7,40,Q5T2T1
151636,DTX3L,15,Q8TDB6
154091,SLC2A12,24,Q8TD20
169714,QSOX2,22,Q6ZRP7
170506,DHX36,37,Q9H2U1
206412,C6orf163,2,Q5TEZ5
219988,PATL1,19,Q86TB9
253260,RICTOR,26,Q6R327
283209,PGM2L1,25,Q6PCE3
283219,KCTD21,4,Q4G0X4
284069,FAM171A2,5,A8MVW0
285848,PNPLA1,2,Q8N8W4
286451,YIPF6,32,Q96EC8
348995,NUP43,20,Q8NFH3
387914,SHISA2,22,Q6UWI4
729665,C14orf38,5,P0C221
768211,RELL1,19,Q8IUW5
100134938,UPK3BL,26,B0FP48
100526664,LY75-CD302,17,O60449
1534,CYB561,7,P49447
2074,ERCC6,3,P0DP91
10266,RAMP2,2,O60895
27121,DKK4,4,Q9UBT3
51078,THAP4,3,Q8WY91
63827,BCAN,2,Q96GW7
79739,TTLL7,5,Q6ZT98
80184,CEP290,9,O15078
84733,CBX2,2,Q14781
93109,TMEM44,3,Q2T9K0
148022,TICAM1,2,Q8IUC6
339487,ZBTB8OS,22,Q8IWT0
1158,CKM,25,P06732
1371,CPOX,26,P36551
2122,MECOM,7,Q03112
2709,GJB5,4,O95377
2983,GUCY1B3,6,Q02153
3004,GZMM,6,P51124
3778,KCNMA1,12,Q12791
3798,KIF5A,20,Q12840
4109,MAGEA10,18,P43363
4224,MEP1A,9,Q16819
4528,MTIF2,5,P46199
4839,NOP2,45,P46087
4940,OAS3,34,Q9Y6K5
5089,PBX2,4,P40425
5335,PLCG1,31,P19174
5822,PWP2,6,Q15269
6241,RRM2,31,P31350
6627,SNRPA1,27,P09661
6637,SNRPG,31,P62308
8867,SYNJ1,15,O43426
9064,MAP3K6,23,O95382
9183,ZW10,32,O43264
9410,SNRNP40,21,Q96DI7
9416,DDX23,39,Q9BUQ8
10045,SH2D3A,7,Q9BRG2
10274,STAG1,5,Q8WVM7
10318,TNIP1,36,Q15025
10533,ATG7,36,O95352
10713,USP39,33,Q53GS9
10735,STAG2,26,Q8N3U4
11155,LDB3,4,O75112
22995,CEP152,8,O94986
23094,SIPA1L3,6,O60292
23098,SARM1,5,Q6SZW1
23131,GPATCH8,6,Q9UKJ3
23162,MAPK8IP3,8,Q9UPT6
23244,PDS5A,34,Q29RF7
23332,CLASP1,24,Q7Z460
51225,ABI3,23,Q9P2A4
51605,TRMT6,31,Q9UJA5
53347,UBASH3A,26,P57075
54480,CHPF2,6,Q9P2E5
54922,RASIP1,6,Q5U651
55660,PRPF40A,45,O75400
55759,WDR12,25,Q9GZL7
57187,THOC2,43,Q8NI27
57572,DOCK6,13,Q96HP0
57684,ZBTB26,4,Q9HCK0
57711,ZNF529,5,Q6P280
57724,EPG5,28,Q9HCE0
64072,CDH23,7,Q9H251
79068,FTO,22,Q9C0B1
79649,MAP7D3,7,Q8IWC1
79846,C7orf63,4,A5D8W1
80008,TMEM156,4,Q8N614
80208,SPG11,13,Q96JI7
80312,TET1,10,Q8NFU7
83449,PMFBP1,8,Q8TBY8
83743,GRWD1,37,Q9BQ67
84002,B3GNT5,4,Q9BYG0
256957,C17orf66,4,A2RTY3
259307,IL4I1,31,Q96RQ9
353274,ZNF445,7,P59923
440193,CCDC88C,5,Q9P219
641,BLM,22,P54132
839,CASP6,27,P55212
910,CD1B,32,P29016
911,CD1C,34,P29017
917,CD3G,3,P09693
926,CD8B,1,P10966
984,CDK11B,2,P21127
1147,CHUK,6,O15111
1178,CLC,1,Q05315
1466,CSRP2,34,Q16527
1633,DCK,16,P27707
1791,DNTT,1,P04053
2068,ERCC2,2,P18074
2185,PTK2B,3,Q14289
2242,FES,5,P07332
2779,GNAT1,19,P11488
2869,GRK5,12,P34947
2908,NR3C1,21,P04150
2959,GTF2B,26,Q00403
3428,IFI16,31,Q16666
3434,IFIT1,19,P09914
3437,IFIT3,32,O14879
3614,IMPDH1,46,P20839
3633,INPP5B,1,P32019
3702,ITK,4,Q08881
3718,JAK3,23,P52333
3980,LIG3,12,P49916
4221,MEN1,2,O00255
4292,MLH1,1,P40692
4437,MSH3,23,P20585
4600,MX2,29,P20592
4615,MYD88,9,Q99836
4686,NCBP1,31,Q09161
4939,OAS2,40,P29728
5256,PHKA2,1,P46019
5287,PIK3C2B,2,O00750
5413,SEPT5,2,Q99719
5423,POLB,1,P06746
5425,POLD2,21,P49005
5432,POLR2C,21,P19387
5434,POLR2E,24,P19388
5441,POLR2L,22,P62875
5442,POLRMT,3,O00411
5452,POU2F2,1,P09086
5521,PPP2R2B,8,Q00005
5529,PPP2R5E,26,Q16537
5609,MAP2K7,1,O14733
5778,PTPN7,2,P35236
5780,PTPN9,4,P43378
5894,RAF1,5,P04049
5961,PRPH2,1,P23942
5982,RFC2,26,P35250
6118,RPA2,34,P15927
6304,SATB1,6,Q01826
6602,SMARCD1,27,Q96GM5
6603,SMARCD2,24,Q92925
6614,SIGLEC1,19,Q9BZZ2
6636,SNRPF,28,P62306
6651,SON,31,P18583
6737,TRIM21,27,P19474
6773,STAT2,27,P52630
6890,TAP1,27,Q03518
6892,TAPBP,20,O15533
6894,TARBP1,4,Q13395
6993,DYNLT1,40,P63172
7153,TOP2A,44,P11388
7185,TRAF1,6,Q13077
7260,TSSC1,18,Q53HC9
7409,VAV1,33,P15498
7443,VRK1,23,Q99986
7535,ZAP70,29,P43403
8079,MLF2,19,Q15773
8087,FXR1,37,P51114
8295,TRRAP,29,Q9Y4A5
8449,DHX16,28,O60231
8487,GEMIN2,33,O14893
8504,PEX3,1,P56589
8514,KCNAB2,25,Q13303
8517,IKBKG,21,Q9Y6K9
8717,TRADD,22,Q15628
8732,RNGTT,2,O60942
8790,FPGT,1,O14772
8890,EIF2B4,24,Q9UI10
8891,EIF2B3,28,Q9NR50
8893,EIF2B5,23,Q13144
8986,RPS6KA4,3,O75676
9125,RQCD1,29,Q92600
9128,PRPF4,20,O43172
9208,LRRFIP1,41,Q32MZ4
9252,RPS6KA5,18,O75582
9262,STK17B,2,O94768
9328,GTF3C5,15,Q9Y5Q8
9332,CD163,3,Q86VB7
9439,MED23,17,Q9ULK4
9459,ARHGEF6,28,Q15052
9473,C1orf38,5,Q5TEJ8
9477,MED20,13,Q9H944
9557,CHD1L,1,Q86WJ1
9646,CTR9,17,Q6PD62
9675,TTI1,22,O43156
9716,AQR,23,O60306
9744,ACAP1,23,Q15027
9844,ELMO1,24,Q92556
9894,TELO2,20,Q9Y4R8
9907,AP5Z1,1,O43299
9920,KBTBD11,1,O94819
9978,RBX1,21,P62877
9991,PTBP3,19,O95758
10048,RANBP9,27,Q96S59
10171,RCL1,18,Q9Y2P8
10238,DCAF7,22,P61962
10277,UBE4B,31,O95155
10279,PRSS16,2,Q9NQE7
10286,BCAS2,27,O75934
10311,DSCR3,3,O14972
10360,NPM3,18,O75607
10421,CD2BP2,1,O95400
10450,PPIE,23,Q9UNP9
10466,COG5,25,Q9UP83
10475,TRIM38,2,O00635
10482,NXF1,20,Q9UBU9
10526,IPO8,25,O15397
10535,RNASEH2A,17,O75792
10556,RPP30,24,P78346
10623,POLR3C,19,Q9BUI4
10659,CELF2,30,O95319
10776,ARPP19,1,P56211
10892,MALT1,6,Q9UDY8
10911,UTS2,1,O95399
11091,WDR5,4,P61964
