ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
3191,HNRNPL,80,P14866
3242,HPD,5,P32754
3248,HPGD,49,P15428
3273,HRG,29,P04196
3301,DNAJA1,126,P31689
3306,HSPA2,103,P54652
3309,HSPA5,175,P11021
3315,HSPB1,171,P04792
3337,DNAJB1,55,P25685
3339,HSPG2,119,P98160
3383,ICAM1,126,P05362
3417,IDH1,135,O75874
3426,CFI,45,P05156
3483,IGFALS,38,P35858
3557,IL1RN,6,P18510
3664,IRF6,2,O14896
3672,ITGA1,65,P56199
3675,ITGA3,118,P26006
3685,ITGAV,143,P06756
3688,ITGB1,203,P05556
3692,EIF6,62,P56537
3696,ITGB8,37,P26012
3700,ITIH4,67,Q14624
3728,JUP,133,P14923
3795,KHK,6,P50053
3801,KIFC3,22,Q9BVG8
3816,KLK1,9,P06870
3827,KNG1,44,P01042
3911,LAMA5,82,O15230
3915,LAMC1,119,P11047
3916,LAMP1,142,P11279
3920,LAMP2,113,P13473
3929,LBP,42,P18428
3934,LCN2,42,P80188
3958,LGALS3,101,P17931
3959,LGALS3BP,187,Q08380
4036,LRP2,47,P98164
4059,BCAM,73,P50895
4069,LYZ,81,P61626
4072,EPCAM,104,P16422
4082,MARCKS,128,P29966
4121,MAN1A1,41,P33908
4124,MAN2A1,34,Q16706
4240,MFGE8,160,Q08431
4241,MFI2,90,P08582
4282,MIF,124,P14174
4300,MLLT3,1,P42568
4301,MLLT4,55,P55196
4311,MME,96,P08473
4332,MNDA,34,P41218
4353,MPO,63,P05164
4357,MPST,68,P25325
4430,MYO1B,91,O43795
4482,MSRA,18,Q9UJ68
4507,MTAP,54,Q13126
4582,MUC1,74,P15941
4621,MYH3,7,P11055
4641,MYO1C,152,O00159
4642,MYO1D,94,O94832
4645,MYO5B,36,Q9ULV0
4646,MYO6,63,Q9UM54
4669,NAGLU,41,P54802
4677,NARS,73,O43776
4703,NEB,35,P20929
4811,NID1,65,P14543
4825,NKX6-1,2,P78426
4835,NQO2,38,P16083
4864,NPC1,50,O15118
4868,NPHS1,5,O60500
4899,NRF1,3,Q16656
4907,NT5E,106,P21589
5025,P2RX4,12,Q99571
5048,PAFAH1B1,105,P43034
5049,PAFAH1B2,77,P68402
5092,PCBD1,49,P61457
5093,PCBP1,137,Q15365
5104,SERPINA5,34,P05154
5105,PCK1,9,P35558
5119,CHMP1A,54,Q9HD42
5134,PDCD2,1,Q16342
5151,PDE8A,5,O60658
5169,ENPP3,35,O14638
5172,SLC26A4,11,O43511
5174,PDZK1,32,Q5T2W1
5176,SERPINF1,85,P36955
5184,PEPD,48,P12955
5217,PFN2,62,P35080
5226,PGD,169,P52209
5236,PGM1,97,P36871
5243,ABCB1,52,P08183
5250,SLC25A3,61,Q00325
5265,SERPINA1,107,P01009
5267,SERPINA4,15,P29622
5269,SERPINB6,86,P35237
5275,SERPINB13,7,Q9UIV8
5284,PIGR,65,P01833
