From	Entry
6203	A8MXK4
6204	P46783
6207	P62277
6210	P62244
6210	B2R4W8
6229	P62847
6229	A0A2R8Y849
6301	P49591
6301	Q0VGA5
6301	Q5T5C7
6421	P23246
6421	A0A384N5Z8
6421	Q86VG2
6472	P34897
6472	A0A024RB99
6472	B4DJQ3
6472	B4DLV4
6472	Q5BJF5
6472	Q5HYG8
6472	V9HW06
6693	P16150
6693	A0A024R629
6709	Q13813
6709	A0A384P5S9
6711	Q01082
6711	B2ZZ89
6723	P19623
6767	P50502
6767	A0A140VKA6
6767	B4E0U6
6767	Q0IJ56
6810	Q12846
6810	B7Z425
6850	P43405
6850	A0A024R244
6850	A0A024R273
6897	P26639
6950	P17987
6950	E7EQR6
7001	P32119
7001	V9HW12
7018	P02787
7018	A0PJA6
7018	Q06AH7
7094	Q9Y490
7167	P60174
7167	Q53HE2
7167	V9HWK1
7184	P14625
7184	V9HWP2
7203	P49368
7203	B3KX11
7203	Q59H77
7247	Q15631
7247	B3KRM8
7277	P68366
7284	P49411
7284	A0A384ME17
7307	Q01081
7307	Q7Z780
7317	P22314
7317	A0A024R1A3
7360	Q16851
7360	A0A140VKE1
7407	P26640
7407	A0A024RCN6
7408	P50552
7408	A0A024R0V4
7414	P18206
7414	A0A024QZN4
7414	B3KXA2
7414	V9HWK2
7415	P55072
7415	V9HW80
7416	P21796
7416	A0A1L1UHR1
7416	B3KTS5
7430	P15311
7431	P08670
7431	V9HWE1
7453	P23381
7453	A0A024R6K8
7520	P13010
7529	P31946
7529	V9HWD6
7534	P63104
7534	D0PNI1
7846	Q71U36
7879	P51149
7879	A0A158RFU6
8078	P45974
8078	A0A140VJZ1
8218	P53675
8239	Q93008
8239	Q6P468
8239	Q86X58
8294	P62805
8294	B2R4R0
8329	P0C0S8
8329	A4FTV9
8330	P0C0S8
8330	A4FTV9
8331	Q99878
8332	P0C0S8
8332	A4FTV9
8335	P04908
8335	Q08AJ9
8336	P0C0S8
8336	A4FTV9
8337	Q6FI13
8339	P62807
8339	B2R4S9
8343	P62807
8343	B2R4S9
8344	P62807
8344	B2R4S9
8346	P62807
8346	B2R4S9
8347	P62807
8347	B2R4S9
8350	P68431
8351	P68431
8352	P68431
8353	P68431
8354	P68431
8355	P68431
8356	P68431
8357	P68431
8358	P68431
8359	P62805
8359	B2R4R0
8360	P62805
8360	B2R4R0
8361	P62805
8361	B2R4R0
8362	P62805
8362	B2R4R0
8363	P62805
8363	B2R4R0
8364	P62805
8364	B2R4R0
8365	P62805
8365	B2R4R0
8366	P62805
8366	B2R4R0
8367	P62805
8367	B2R4R0
8368	P62805
8368	B2R4R0
8370	P62805
8370	B2R4R0
8451	Q13619
8451	A0A0A0MR50
8508	Q9BPW8
8508	B4DQI7
8607	Q9Y265
8607	A0A384MTR5
8607	B3KRS7
8607	E7ETR0
8615	O60763
8661	Q14152
8662	P55884
8662	A0A024R821
8662	A4D210
8663	Q99613
8663	A0A024QYU9
8667	O15372
8667	Q6IB98
8668	Q13347
8668	Q5U0F4
8766	P62491
8766	A0A024R5Z8
8801	Q96I99
8826	P46940
8826	A0A024RC65
8895	O75131
8895	A0A024R994
8968	P68431
8969	P0C0S8
8969	A4FTV9
8969	B2R5B3
9093	Q96EY1
9093	B3KM81
9093	Q53G26
9093	Q59E88
9097	P54578
9230	Q15907
9520	P55786
9520	A0A7I2V3W8
9520	B7Z899
9520	E9PLK3
9559	O75436
9559	B4DLT1
9588	P30041
9588	V9HWC7
9632	P53992
9632	A0A024QZM6
9936	Q8IX05
9936	A0A087WT00
9948	O75083
9948	V9HWG7
9961	Q14764
9961	X5D2M8
9961	X5D7K9
9961	X5DNU0
10015	Q8WUM4
10072	Q9NY33
10072	Q5JPB8
10093	P59998
10094	O15145
10095	O15143
10095	A4D275
10096	P61158
10096	A0A024RAI1
10096	B4DXW1
10097	P61160
10109	O15144
10109	A0A024R408
10109	Q53R19
10121	P61163
10121	A0A384NQ21
10128	P42704
10128	A0A804HIG4
10128	E5KNY5
10168	O14709
10168	Q7Z6G1
10211	O75955
10211	Q5ST80
10236	O43390
10236	B4DMB1
10236	B4DMD1
10236	B4DT28
10236	Q0VGD6
10236	Q6MZS5
10376	P68363
10383	P68371
10399	P63244
10399	E9KL35
10483	Q15437
10483	A0A2R8YFH5
10487	Q01518
10487	D3DPU2
10527	O95373
10527	B3KNG9
10539	O76003
10539	A0A140VJK1
10574	Q99832
10575	P50991
10576	P78371
10576	V9HW96
10672	Q14344
10672	A0A024R8M0
10694	P50990
10694	Q7Z759
10890	P61026
10971	P27348
11021	Q15286
11151	P31146
11151	A0A024R611
22800	P62070
22820	Q9Y678
22931	Q9NP72
22931	A0A087X163
22931	B7Z4P9
22931	B7Z5V3
22948	P48643
22948	B4DDU6
22948	B4DX08
22948	B4DYC8
22948	B7ZAR1
22948	E7ENZ3
22948	E9PCA1
22948	V9HW37
23011	Q9UL25
23011	A0A024RBA9
23157	Q14141
23157	B1AMS2
23157	Q541S4
23157	Q548C9
23317	O75165
23317	B3KN02
23406	Q14019
23406	A0A384MTY2
23521	P40429
23521	A0A384ME37
23521	Q8J015
25873	Q9Y3U8
25934	Q9UFN0
26140	Q9Y4R7
26140	J3KQB2
26578	Q92882
26958	Q9UBF2
26958	A0A140VK12
26958	Q9NSM7
30845	Q9NZN3
51035	Q04323
51035	A0A024R539
51035	A0A024R598
51035	A0A087WTZ5
51552	P61106
51552	A0A024R845
51762	Q92930
55577	Q9UJ70
55577	A0A384N6G7
55577	C9JEV6
55619	Q96BY6
55737	Q96QK1
55748	Q96KP4
56138	Q9Y5I1
56616	Q9NR28
56616	A0A024RBT2
56616	A0A0S2Z5P6
56616	A0A0S2Z5U7
56616	K7X1S0
56616	Q502X2
60412	Q96A65
60412	Q6NX51
79026	Q09666
79026	B4DTV0
79026	Q9BVU3
79585	P57737
81704	Q8NF50
81704	E2J6M5
81704	E2J6M6
81876	Q9H0U4
83706	Q86UX7
84790	Q9BQE3
84790	B7Z1K5
84790	F5H5D3
84836	Q96IU4
84836	V9HW87
85235	Q96KK5
85235	A3KPC7
121504	P62805
121504	B2R4R0
126961	Q71DI3
203068	P07437
203068	B4DMJ5
203068	B4DQN9
203068	B4DY90
203068	Q5ST81
203068	Q5SU16
221823	P21108
333932	Q71DI3
388697	Q86YZ3
399687	Q92614
399687	A0A024QZ63
399687	Q9NYE8
554313	P62805
554313	B2R4R0
653361	P14598
653604	Q71DI3
723790	Q6FI13
728689	B5ME19
728689	A0A024QYX7
11465	P63260
11465	Q4KL81
11475	P62737
11840	P84078
11844	P84084
11845	P62331
11845	Q3U0D7
14688	P62874
14688	Q3TQ70
14694	P68040
15077	P84228
15077	B9EI85
15078	P84244
15081	P84244
15267	Q6GSS7
15267	B2RWH3
15387	P61979
15387	B2M1R6
15387	Q3U9Q3
15387	Q5FWJ5
19324	P62821
19324	Q0PD67
19325	P61027
19325	Q4FJL0
19344	P61021
19344	B2RPS1
19384	P62827
19428	Q61820
19428	A6H622
19921	P84099
19921	A2A547
19921	Q5I0T8
19941	P61255
19941	Q4FZH2
19951	P62911
20088	P62849
20088	Q5M9M7
20088	Q9D7P1
