ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
2170,P05413,FABP3,4,Microparticles
2182,O60488,ACSL4,15,Microvesicles
2184,P16930,FAH,3,Microvesicles
2194,P49327,FASN,27,Microvesicles
2195,Q14517,FAT1,2,Microvesicles
2202,Q12805,EFEMP1,5,Microparticles
2203,P09467,FBP1,2,Microvesicles
2220,Q15485,FCN2,1,Microparticles
2243,P02671,FGA,30,Microvesicles
2266,P02679,FGG,23,Microvesicles
2289,Q13451,FKBP5,2,Microvesicles
2335,P02751,FN1,29,Microparticles
2444,P42685,FRK,6,Microvesicles
2512,P02792,FTL,16,Microvesicles
2517,P04066,FUCA1,5,Microvesicles
2548,P10253,GAA,7,Microvesicles
2561,P47870,GABRB2,1,Microparticles
2584,P51570,GALK1,8,Microvesicles
2632,Q04446,GBE1,13,Microvesicles
2720,P16278,GLB1,8,Microvesicles
2734,Q92896,GLG1,5,Microparticles
2752,P15104,GLUL,1,Microvesicles
2767,P29992,GNA11,18,Microvesicles
2770,P63096,GNAI1,17,Microvesicles
2776,P50148,GNAQ,34,Microvesicles
2787,P63218,GNG5,11,Microparticles
2788,O60262,GNG7,2,Microvesicles
2805,P17174,GOT1,9,Microvesicles
2810,P31947,SFN,11,Microparticles
2823,P51674,GPM6A,1,Microvesicles
2875,P24298,GPT,1,Microvesicles
2879,P36969,GPX4,13,Microvesicles
2934,P06396,GSN,27,Microvesicles
2937,P48637,GSS,12,Microvesicles
2938,P08263,GSTA1,3,Microparticles
2946,P28161,GSTM2,2,Microvesicles
2990,P08236,GUSB,2,Microvesicles
3043,P68871,HBB,24,Microvesicles
3075,P08603,CFH,14,Microvesicles
3094,P49773,HINT1,3,Microvesicles
3191,P14866,HNRNPL,6,Microvesicles
3248,P15428,HPGD,4,Microvesicles
3273,P04196,HRG,8,Microparticles
3301,P31689,DNAJA1,15,Microvesicles
3306,P54652,HSPA2,15,Microvesicles
3309,P11021,HSPA5,36,Microparticles
3315,P04792,HSPB1,27,Microvesicles
3337,P25685,DNAJB1,3,Microvesicles
3339,P98160,HSPG2,15,Microparticles
3383,P05362,ICAM1,21,Microvesicles
3417,O75874,IDH1,21,Microvesicles
3426,P05156,CFI,1,Microparticles
3483,P35858,IGFALS,7,Microparticles
3557,P18510,IL1RN,2,Microvesicles
3672,P56199,ITGA1,11,Microvesicles
3675,P26006,ITGA3,16,Microvesicles
3685,P06756,ITGAV,35,Microvesicles
3688,P05556,ITGB1,40,Microvesicles
3692,P56537,EIF6,10,Microvesicles
3696,P26012,ITGB8,1,Microvesicles
