ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
5304,PIP,9,Exosomes
5310,PKD1,7,Exosomes
5311,PKD2,4,Exosomes
5313,PKLR,14,Exosomes
5314,PKHD1,5,Exosomes
5315,PKM,108,Exosomes
5333,PLCD1,8,Exosomes
5351,PLOD1,20,Exosomes
5357,PLS1,15,Exosomes
5359,PLSCR1,20,Exosomes
5412,UBL3,5,Exosomes
5420,PODXL,15,Exosomes
5476,CTSA,11,Exosomes
5478,PPIA,73,Exosomes
5479,PPIB,37,Exosomes
5493,PPL,13,Exosomes
5510,PPP1R7,10,Exosomes
5547,PRCP,7,Exosomes
5576,PRKAR2A,18,Exosomes
5578,PRKCA,8,Exosomes
5580,PRKCD,3,Exosomes
5583,PRKCH,1,Exosomes
5584,PRKCI,7,Exosomes
5590,PRKCZ,6,Exosomes
5621,PRNP,12,Exosomes
5652,PRSS8,17,Exosomes
5657,PRTN3,1,Exosomes
5660,PSAP,26,Exosomes
5682,PSMA1,42,Exosomes
5683,PSMA2,40,Exosomes
5684,PSMA3,42,Exosomes
5685,PSMA4,43,Exosomes
5686,PSMA5,40,Exosomes
5689,PSMB1,33,Exosomes
5690,PSMB2,32,Exosomes
5691,PSMB3,37,Exosomes
5693,PSMB5,32,Exosomes
5694,PSMB6,35,Exosomes
5705,PSMC5,28,Exosomes
5706,PSMC6,32,Exosomes
5709,PSMD3,21,Exosomes
5718,PSMD12,23,Exosomes
5721,PSME2,25,Exosomes
5777,PTPN6,16,Exosomes
5783,PTPN13,4,Exosomes
5795,PTPRJ,19,Exosomes
5800,PTPRO,6,Exosomes
5860,QDPR,5,Exosomes
5862,RAB2A,31,Exosomes
5865,RAB3B,16,Exosomes
5869,RAB5B,39,Exosomes
5872,RAB13,38,Exosomes
5873,RAB27A,14,Exosomes
5878,RAB5C,64,Exosomes
5898,RALA,52,Exosomes
5901,RAN,64,Exosomes
5910,RAP1GDS1,11,Exosomes
5912,RAP2B,39,Exosomes
5917,RARS,25,Exosomes
5934,RBL2,1,Exosomes
5950,RBP4,6,Exosomes
5962,RDX,52,Exosomes
5973,RENBP,3,Exosomes
5981,RFC1,4,Exosomes
6009,RHEB,13,Exosomes
6050,RNH1,25,Exosomes
6051,RNPEP,18,Exosomes
6092,ROBO2,3,Exosomes
6102,RP2,15,Exosomes
6205,RPS11,33,Exosomes
6222,RPS18,36,Exosomes
6237,RRAS,30,Exosomes
6239,RREB1,3,Exosomes
6261,RYR1,6,Exosomes
6275,S100A4,7,Exosomes
6277,S100A6,30,Exosomes
6279,S100A8,24,Exosomes
6280,S100A9,18,Exosomes
6281,S100A10,15,Exosomes
6286,S100P,8,Exosomes
6317,SERPINB3,11,Exosomes
6318,SERPINB4,5,Exosomes
6336,SCN10A,1,Exosomes
6382,SDC1,31,Exosomes
6386,SDCBP,86,Exosomes
6396,SEC13,9,Exosomes
6398,SECTM1,1,Exosomes
6451,SH3BGRL,10,Exosomes
6470,SHMT1,10,Exosomes
6472,SHMT2,22,Exosomes
6505,SLC1A1,6,Exosomes
6518,SLC2A5,9,Exosomes
6519,SLC3A1,4,Exosomes
6520,SLC3A2,67,Exosomes
6521,SLC4A1,3,Exosomes
6523,SLC5A1,10,Exosomes
6524,SLC5A2,6,Exosomes
6540,SLC6A13,2,Exosomes
6550,SLC9A3,3,Exosomes
6557,SLC12A1,15,Exosomes
6559,SLC12A3,10,Exosomes
6565,SLC15A2,3,Exosomes
6576,SLC25A1,7,Exosomes
6582,SLC22A2,4,Exosomes
6584,SLC22A5,4,Exosomes
6608,SMO,5,Exosomes
6623,SNCG,4,Exosomes
6647,SOD1,20,Exosomes
6652,SORD,11,Exosomes
6653,SORL1,10,Exosomes
6683,SPAST,7,Exosomes
6697,SPR,11,Exosomes
6707,SPRR3,4,Exosomes
6711,SPTBN1,31,Exosomes
6714,SRC,27,Exosomes
6717,SRI,37,Exosomes
6767,ST13,41,Exosomes
6794,STK11,1,Exosomes
6809,STX3,11,Exosomes
6812,STXBP1,5,Exosomes
6813,STXBP2,20,Exosomes
6845,VAMP7,12,Exosomes
6856,SYPL1,13,Exosomes
6906,SERPINA7,13,Exosomes
6950,TCP1,51,Exosomes
7007,TECTA,1,Exosomes
7018,TF,41,Exosomes
7047,TGM4,8,Exosomes
7049,TGFBR3,2,Exosomes
7052,TGM2,22,Exosomes
7057,THBS1,50,Exosomes
7070,THY1,17,Exosomes
7086,TKT,35,Exosomes
7094,TLN1,50,Exosomes
7105,TSPAN6,17,Exosomes
7113,TMPRSS2,11,Exosomes
7167,TPI1,76,Exosomes
7203,CCT3,54,Exosomes
7251,TSG101,72,Exosomes
7264,TSTA3,13,Exosomes
7266,DNAJC7,13,Exosomes
7273,TTN,35,Exosomes
7280,TUBB2A,38,Exosomes
7295,TXN,33,Exosomes
7317,UBA1,52,Exosomes
7326,UBE2G1,1,Exosomes
7348,UPK1B,5,Exosomes
7360,UGP2,33,Exosomes
7369,UMOD,11,Exosomes
7379,UPK2,6,Exosomes
7380,UPK3A,4,Exosomes
7402,UTRN,16,Exosomes
7408,VASP,29,Exosomes
7414,VCL,41,Exosomes
7415,VCP,57,Exosomes
7416,VDAC1,18,Exosomes
7419,VDAC3,7,Exosomes
7429,VIL1,8,Exosomes
7450,VWF,8,Exosomes
7512,XPNPEP2,12,Exosomes
7531,YWHAE,87,Exosomes
7532,YWHAG,52,Exosomes
7533,YWHAH,47,Exosomes
7534,YWHAZ,72,Exosomes
7827,NPHS2,8,Exosomes
7832,BTG2,1,Exosomes
7841,MOGS,5,Exosomes
7846,TUBA1A,61,Exosomes
7879,RAB7A,65,Exosomes
7916,PRRC2A,3,Exosomes
8000,PSCA,5,Exosomes
8029,CUBN,8,Exosomes
8073,PTP4A2,11,Exosomes
8291,DYSF,10,Exosomes
8407,TAGLN2,54,Exosomes
8411,EEA1,8,Exosomes
8424,BBOX1,3,Exosomes
8428,STK24,19,Exosomes
8450,CUL4B,14,Exosomes
8452,CUL3,9,Exosomes
8455,ATRN,18,Exosomes
8476,CDC42BPA,3,Exosomes
8499,PPFIA2,1,Exosomes
8566,PDXK,16,Exosomes
8574,AKR7A2,17,Exosomes
8611,PPAP2A,4,Exosomes
8647,ABCB11,1,Exosomes
8649,LAMTOR3,2,Exosomes
8667,EIF3H,16,Exosomes
8671,SLC4A4,4,Exosomes
8673,VAMP8,18,Exosomes
8724,SNX3,9,Exosomes
8735,MYH13,4,Exosomes
8773,SNAP23,37,Exosomes
8774,NAPG,13,Exosomes
8775,NAPA,19,Exosomes
8789,FBP2,3,Exosomes
8796,SCEL,1,Exosomes
8803,SUCLA2,3,Exosomes
8826,IQGAP1,57,Exosomes
8836,GGH,14,Exosomes
8842,PROM1,25,Exosomes
8857,FCGBP,16,Exosomes
8858,PROZ,2,Exosomes
8878,SQSTM1,18,Exosomes
8895,CPNE3,33,Exosomes
8907,AP1M1,12,Exosomes
8934,RAB7L1,9,Exosomes
8976,WASL,1,Exosomes
8985,PLOD3,18,Exosomes
8991,SELENBP1,12,Exosomes
8993,PGLYRP1,1,Exosomes
8997,KALRN,4,Exosomes
9022,CLIC3,6,Exosomes
9031,BAZ1B,2,Exosomes
9043,SPAG9,8,Exosomes
9052,GPRC5A,20,Exosomes
9058,SLC13A2,3,Exosomes
9114,ATP6V0D1,15,Exosomes
9146,HGS,16,Exosomes
9179,AP4M1,1,Exosomes
9296,ATP6V1F,6,Exosomes
9317,PTER,4,Exosomes
9322,TRIP10,8,Exosomes
9351,SLC9A3R2,10,Exosomes
9353,SLIT2,7,Exosomes
9356,SLC22A6,3,Exosomes
9365,KL,8,Exosomes
9368,SLC9A3R1,29,Exosomes
9371,KIF3B,2,Exosomes
9376,SLC22A8,3,Exosomes
9380,GRHPR,15,Exosomes
9390,SLC22A13,2,Exosomes
9407,TMPRSS11D,1,Exosomes
9445,ITM2B,11,Exosomes
9446,GSTO1,18,Exosomes
9476,NAPSA,11,Exosomes
9520,NPEPPS,20,Exosomes
9525,VPS4B,20,Exosomes
9528,TMEM59,6,Exosomes
9545,RAB3D,23,Exosomes
9550,ATP6V1G1,7,Exosomes
9578,CDC42BPB,13,Exosomes
9586,CREB5,3,Exosomes
9588,PRDX6,50,Exosomes
9696,CROCC,10,Exosomes
9704,DHX34,1,Exosomes
9725,TMEM63A,4,Exosomes
9748,SLK,13,Exosomes
9798,IST1,42,Exosomes
9853,RUSC2,3,Exosomes
9943,OXSR1,14,Exosomes
9948,WDR1,45,Exosomes
9961,MVP,36,Exosomes
9963,SLC23A1,6,Exosomes
9980,DOPEY2,8,Exosomes
10006,ABI1,22,Exosomes
10007,GNPDA1,13,Exosomes
10015,PDCD6IP,125,Exosomes
10016,PDCD6,37,Exosomes
10043,TOM1,4,Exosomes
10058,ABCB6,3,Exosomes
10060,ABCC9,4,Exosomes
10075,HUWE1,13,Exosomes
10092,ARPC5,17,Exosomes
10093,ARPC4,43,Exosomes
10094,ARPC3,39,Exosomes
10096,ACTR3,35,Exosomes
10097,ACTR2,39,Exosomes
10099,TSPAN3,9,Exosomes
10103,TSPAN1,11,Exosomes
10109,ARPC2,33,Exosomes
10121,ACTR1A,33,Exosomes
10158,PDZK1IP1,3,Exosomes
10159,ATP6AP2,19,Exosomes
10189,ALYREF,5,Exosomes
10207,INADL,10,Exosomes
10211,FLOT1,73,Exosomes
10217,CTDSPL,1,Exosomes
10247,HRSP12,8,Exosomes
10269,ZMPSTE24,2,Exosomes
10294,DNAJA2,26,Exosomes
10327,AKR1A1,26,Exosomes
10397,NDRG1,17,Exosomes
10399,GNB2L1,38,Exosomes
10409,BASP1,39,Exosomes
10411,RAPGEF3,8,Exosomes
10417,SPON2,6,Exosomes
10422,UBAC1,1,Exosomes
10443,N4BP2L2,1,Exosomes
10458,BAIAP2,24,Exosomes
10487,CAP1,42,Exosomes
10493,VAT1,40,Exosomes
10519,CIB1,18,Exosomes
10529,NEBL,1,Exosomes
10540,DCTN2,18,Exosomes
10552,ARPC1A,11,Exosomes
10562,OLFM4,11,Exosomes
10576,CCT2,65,Exosomes
10591,C6orf108,3,Exosomes
10592,SMC2,14,Exosomes
10598,AHSA1,11,Exosomes
10617,STAMBP,8,Exosomes
10654,PMVK,14,Exosomes
10694,CCT8,54,Exosomes
10747,MASP2,15,Exosomes
10755,GIPC1,23,Exosomes
10767,HBS1L,3,Exosomes
10787,NCKAP1,12,Exosomes
10788,IQGAP2,10,Exosomes
10840,ALDH1L1,7,Exosomes
10841,FTCD,7,Exosomes
10875,FGL2,5,Exosomes
10878,CFHR3,2,Exosomes
10890,RAB10,60,Exosomes
10893,MMP24,3,Exosomes
10920,COPS8,15,Exosomes
10938,EHD1,45,Exosomes
10960,LMAN2,18,Exosomes
10970,CKAP4,13,Exosomes
10971,YWHAQ,79,Exosomes
10974,C10orf116,3,Exosomes
11001,SLC27A2,5,Exosomes
11021,RAB35,48,Exosomes
11034,DSTN,23,Exosomes
11043,MID2,1,Exosomes
11045,UPK1A,8,Exosomes
11127,KIF3A,9,Exosomes
11164,NUDT5,5,Exosomes
11181,TREH,3,Exosomes
11190,CEP250,1,Exosomes
11235,PDCD10,22,Exosomes
11240,PADI2,4,Exosomes
11252,PACSIN2,24,Exosomes
11261,CHP1,16,Exosomes
11267,SNF8,9,Exosomes
11269,DDX19B,8,Exosomes
11280,SCN11A,2,Exosomes
11313,LYPLA2,13,Exosomes
11315,PARK7,42,Exosomes
11332,ACOT7,24,Exosomes
22800,RRAS2,28,Exosomes
22837,COBLL1,4,Exosomes
22866,CNKSR2,6,Exosomes
22875,ENPP4,9,Exosomes
22930,RAB3GAP1,7,Exosomes
22948,CCT5,61,Exosomes
22949,PTGR1,22,Exosomes
22977,AKR7A3,3,Exosomes
23011,RAB21,28,Exosomes
23013,SPEN,5,Exosomes
23193,GANAB,34,Exosomes
23295,MGRN1,4,Exosomes
23316,CUX2,2,Exosomes
23317,DNAJC13,18,Exosomes
23318,ZCCHC11,4,Exosomes
23338,PHF15,1,Exosomes
23354,HAUS5,1,Exosomes
23365,ARHGEF12,1,Exosomes
23385,NCSTN,31,Exosomes
23406,COTL1,19,Exosomes
23446,SLC44A1,30,Exosomes
23452,ANGPTL2,8,Exosomes
23473,CAPN7,7,Exosomes
23564,DDAH2,13,Exosomes
23576,DDAH1,12,Exosomes
23593,HEBP2,7,Exosomes
23607,CD2AP,22,Exosomes
23646,PLD3,15,Exosomes
23670,TMEM2,19,Exosomes
23677,SH3BP4,12,Exosomes
23743,BHMT2,2,Exosomes
25796,PGLS,20,Exosomes
25801,GCA,12,Exosomes
25813,SAMM50,4,Exosomes
25824,PRDX5,34,Exosomes
25836,NIPBL,5,Exosomes
25878,MXRA5,4,Exosomes
25909,AHCTF1,3,Exosomes
25930,PTPN23,11,Exosomes
25932,CLIC4,31,Exosomes
25978,CHMP2B,17,Exosomes
25989,ULK3,6,Exosomes
26007,DAK,8,Exosomes
26027,ACOT11,1,Exosomes
26060,APPL1,3,Exosomes
26227,PHGDH,46,Exosomes
26230,TIAM2,2,Exosomes
26251,KCNG2,1,Exosomes
26509,MYOF,23,Exosomes
26994,RNF11,2,Exosomes
26999,CYFIP2,21,Exosomes
27069,GHITM,3,Exosomes
27111,SDCBP2,12,Exosomes
27243,CHMP2A,32,Exosomes
27293,SMPDL3B,14,Exosomes
28970,C11orf54,7,Exosomes
28988,DBNL,17,Exosomes
29028,ATAD2,1,Exosomes
29085,PHPT1,4,Exosomes
29105,C16orf80,1,Exosomes
29763,PACSIN3,19,Exosomes
29789,OLA1,28,Exosomes
29800,ZDHHC1,4,Exosomes
29934,SNX12,1,Exosomes
29968,PSAT1,17,Exosomes
30833,NT5C,5,Exosomes
30844,EHD4,56,Exosomes
30846,EHD2,14,Exosomes
30851,TAX1BP3,2,Exosomes
49860,CRNN,4,Exosomes
50488,MINK1,15,Exosomes
50508,NOX3,2,Exosomes
50617,ATP6V0A4,5,Exosomes
50618,ITSN2,6,Exosomes
50628,GEMIN4,5,Exosomes
50865,HEBP1,17,Exosomes
51028,VPS36,11,Exosomes
51056,LAP3,31,Exosomes
51084,CRYL1,4,Exosomes
51125,GOLGA7,23,Exosomes
51160,VPS28,46,Exosomes
51168,MYO15A,7,Exosomes
51181,DCXR,13,Exosomes
51382,ATP6V1D,7,Exosomes
51429,SNX9,9,Exosomes
51449,PCYOX1,7,Exosomes
51458,RHCG,6,Exosomes
51479,ANKFY1,13,Exosomes
51506,UFC1,1,Exosomes
51510,CHMP5,26,Exosomes
51534,VTA1,27,Exosomes
51552,RAB14,54,Exosomes
51571,FAM49B,23,Exosomes
51596,CUTA,6,Exosomes
51606,ATP6V1H,16,Exosomes
51652,CHMP3,14,Exosomes
51704,GPRC5B,14,Exosomes
51719,CAB39,20,Exosomes
51727,CMPK1,14,Exosomes
51733,UPB1,2,Exosomes
51762,RAB8B,43,Exosomes
51768,TM7SF3,9,Exosomes
53405,CLIC5,9,Exosomes
53841,CDHR5,1,Exosomes
54102,CLIC6,5,Exosomes
54414,SIAE,2,Exosomes
54472,TOLLIP,38,Exosomes
54504,CPVL,12,Exosomes
54509,RHOF,17,Exosomes
54587,MXRA8,10,Exosomes
54622,ARL15,4,Exosomes
54680,ZNHIT6,1,Exosomes
54810,GIPC2,1,Exosomes
54825,CDHR2,2,Exosomes
54832,VPS13C,13,Exosomes
54862,CC2D1A,12,Exosomes
54869,EPS8L1,14,Exosomes
54875,CNTLN,2,Exosomes
54906,FAM208B,6,Exosomes
54927,CHCHD3,2,Exosomes
54978,C2orf18,5,Exosomes
55004,LAMTOR1,13,Exosomes
55028,C17orf80,2,Exosomes
55040,EPN3,1,Exosomes
55048,VPS37C,21,Exosomes
55075,UACA,5,Exosomes
55187,VPS13D,3,Exosomes
55198,APPL2,6,Exosomes
55207,ARL8B,10,Exosomes
55293,UEVLD,18,Exosomes
