ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
10252,SPRY1,4,Exosomes,O43609
10284,SAP18,25,Exosomes,O00422
10436,EMG1,23,Exosomes,Q92979
10514,MYBBP1A,24,Exosomes,Q9BQG0
10658,CELF1,30,Exosomes,Q92879
10670,RRAGA,26,Exosomes,Q7L523
10675,CSPG5,3,Exosomes,O95196
10785,WDR4,23,Exosomes,P57081
10802,SEC24A,33,Exosomes,O95486
10916,MAGED2,28,Exosomes,Q9UNF1
10992,SF3B2,33,Exosomes,Q13435
11054,OGFR,8,Exosomes,Q9NZT2
11124,FAF1,27,Exosomes,Q9UNN5
11146,GLMN,27,Exosomes,Q92990
11196,SEC23IP,30,Exosomes,Q9Y6Y8
11285,B4GALT7,6,Exosomes,Q9UBV7
22803,XRN2,29,Exosomes,Q9H0D6
22822,PHLDA1,39,Exosomes,Q8WV24
22826,DNAJC8,25,Exosomes,O75937
22913,RALY,48,Exosomes,Q9UKM9
23019,CNOT1,54,Exosomes,A5YKK6
23028,KDM1A,31,Exosomes,O60341
23165,NUP205,26,Exosomes,Q92621
23204,ARL6IP1,31,Exosomes,Q15041
23212,RRS1,26,Exosomes,Q15050
23234,DNAJC9,24,Exosomes,Q8WXX5
23350,U2SURP,13,Exosomes,O15042
23468,CBX5,26,Exosomes,P45973
23545,ATP6V0A2,22,Exosomes,Q9Y487
23708,GSPT2,27,Exosomes,Q8IYD1
23779,ARHGAP8,8,Exosomes,P85298
24145,PANX1,25,Exosomes,Q96RD7
24148,PRPF6,24,Exosomes,O94906
25929,GEMIN5,33,Exosomes,Q8TEQ6
25940,FAM98A,26,Exosomes,Q8NCA5
25963,TMEM87A,27,Exosomes,Q8NBN3
26121,PRPF31,23,Exosomes,Q8WWY3
26504,CNNM4,28,Exosomes,Q6P4Q7
26973,CHORDC1,33,Exosomes,Q9UHD1
27000,DNAJC2,30,Exosomes,Q99543
27043,PELP1,32,Exosomes,Q8IZL8
27336,HTATSF1,19,Exosomes,O43719
27339,PRPF19,53,Exosomes,Q9UMS4
28231,SLCO4A1,23,Exosomes,Q96BD0
28969,BZW2,38,Exosomes,Q9Y6E2
28982,FLVCR1,33,Exosomes,Q9Y5Y0
29086,BABAM1,21,Exosomes,Q9NWV8
29894,CPSF1,21,Exosomes,Q10570
29995,LMCD1,3,Exosomes,Q9NZU5
51162,EGFL7,19,Exosomes,Q9UHF1
51194,IPO11,29,Exosomes,Q9UI26
51202,DDX47,26,Exosomes,Q9H0S4
51290,ERGIC2,22,Exosomes,Q96RQ1
51377,UCHL5,28,Exosomes,Q9Y5K5
51422,PRKAG2,4,Exosomes,Q9UGJ0
51433,ANAPC5,28,Exosomes,Q9UJX4
51593,SRRT,35,Exosomes,Q9BXP5
53373,TPCN1,19,Exosomes,Q9ULQ1
54503,ZDHHC13,3,Exosomes,Q8IUH4
54514,DDX4,7,Exosomes,Q9NQI0
54845,ESRP1,23,Exosomes,Q6NXG1
54893,MTMR10,9,Exosomes,Q9NXD2
