ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
388275,HNRNPA1P7,1,Microparticles
388344,RPL13P12,2,Microparticles
388532,RPL21P131,1,Microparticles
388556,RPS9P4,2,Microparticles
388621,RPL21P20,1,Microparticles
388697,HRNR,12,Microparticles
389156,RPL21P39,1,Microparticles
389901,LOC389901,1,Microparticles
390183,RPS4XP13,3,Microparticles
391655,RPL17P20,2,Microparticles
391656,RPS15AP17,2,Microparticles
391777,RPS4XP6,3,Microparticles
391833,RPS10P11,2,Microparticles
399687,MYO18A,8,Microparticles
399804,LOC399804,1,Microparticles
399942,TUBAP2,3,Microparticles
400013,TCP1P3,1,Microparticles
400652,RPS3AP49,1,Microparticles
400963,RPS2P17,2,Microparticles
401817,RPS10P22,2,Microparticles
402342,RPL13AP18,3,Microparticles
439953,LOC439953,6,Microparticles
439992,RPS3AP5,1,Microparticles
440086,RPS6P1,2,Microparticles
440434,LOC440434,4,Microparticles
440487,RPL21P128,1,Microparticles
440575,RPL21P29,1,Microparticles
440577,LOC440577,1,Microparticles
440589,RPS2P8,2,Microparticles
440926,H3F3AP4,1,Microparticles
440991,RPS3P3,3,Microparticles
441032,EEF1A1P9,6,Microparticles
441073,RPL26P19,2,Microparticles
442308,LOC442308,3,Microparticles
554313,HIST2H4B,29,Microparticles
619563,SNORA7A,1,Microparticles
642585,VDAC1P1,1,Microparticles
642738,RPL21P69,1,Microparticles
642828,RPL6P10,2,Microparticles
643300,HSPD1P1,3,Microparticles
643863,RPL17P34,2,Microparticles
644037,HNRNPA1P12,1,Microparticles
644063,HNRNPKP4,1,Microparticles
644131,CCT8P1,2,Microparticles
644315,RPS7P11,2,Microparticles
644745,HSPD1P4,3,Microparticles
644790,RPS15AP11,2,Microparticles
644914,H3F3AP6,1,Microparticles
645018,RPS2P20,2,Microparticles
645174,RPL21P46,1,Microparticles
645296,RPL17P39,2,Microparticles
645387,RPL6P27,2,Microparticles
645548,HSPD1P6,3,Microparticles
645630,RPS13P8,2,Microparticles
645691,LOC645691,1,Microparticles
645715,EEF1A1P24,6,Microparticles
646483,RPL6P19,2,Microparticles
646785,RPS10P13,2,Microparticles
646819,RPS15AP19,2,Microparticles
646909,RPL17P33,2,Microparticles
646966,RPL26P16,2,Microparticles
647000,TUBBP2,3,Microparticles
648000,RPL7P23,3,Microparticles
648729,RPS15AP24,2,Microparticles
650901,RPS2P12,2,Microparticles
653079,RPL21P98,1,Microparticles
653156,RPL21P53,1,Microparticles
653214,PPIAP22,6,Microparticles
653232,RPL15P3,2,Microparticles
653361,NCF1,1,Microparticles
653604,HIST2H3D,9,Microparticles
653665,RPL21P93,1,Microparticles
653737,RPL21P119,1,Microparticles
654350,RPL9P25,3,Microparticles
654817,NCF1C,1,Microparticles
664709,HNRNPA1P10,1,Microparticles
677797,SNORA7B,1,Microparticles
723790,HIST2H2AA4,6,Microparticles
727821,RPL21P45,1,Microparticles
727984,RPL17P22,2,Microparticles
728002,RPL15P17,2,Microparticles
728088,RPL15P18,2,Microparticles
728380,RPL7P26,3,Microparticles
728553,RPS8P8,3,Microparticles
728576,RPL15P7,2,Microparticles
728643,LOC728643,1,Microparticles
728658,RPL13AP5,3,Microparticles
728689,EIF3CL,3,Microparticles
728693,RPL21P105,1,Microparticles
728698,EIF4A1P4,3,Microparticles
728782,RPL21P134,1,Microparticles
728791,RPS10P4,2,Microparticles
728843,RPL7P20,3,Microparticles
729009,FTH1P20,2,Microparticles
729046,LOC729046,2,Microparticles
729208,RPL21P14,1,Microparticles
729236,RPS13P2,2,Microparticles
729301,RPL17P9,2,Microparticles
729340,RPL17P36,2,Microparticles
729342,LOC729342,1,Microparticles
729389,RPS6P25,2,Microparticles
729402,RPL21P16,1,Microparticles
729403,GAPDHP61,6,Microparticles
729494,ARPC3P3,3,Microparticles
729677,RPL7P16,3,Microparticles
729679,RPS2P51,2,Microparticles
729686,LOC729686,1,Microparticles
729708,TPI1P1,6,Microparticles
729992,ST13P1,1,Microparticles
