ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
5052,PRDX1,30,Microparticles,Q06830
5106,PCK2,3,Microparticles,Q16822
5175,PECAM1,30,Microparticles,P16284
5211,PFKL,16,Microparticles,P17858
5214,PFKP,9,Microparticles,Q01813
5216,PFN1,29,Microparticles,P07737
5223,PGAM1,22,Microparticles,P18669
5230,PGK1,30,Microparticles,P00558
5295,PIK3R1,2,Microparticles,P27986
5297,PI4KA,4,Microparticles,P42356
5315,PKM,29,Microparticles,P14618
5336,PLCG2,6,Microparticles,P16885
5339,PLEC,13,Microparticles,Q15149
5431,POLR2B,4,Microparticles,P30876
5478,PPIA,37,Microparticles,P62937
5528,PPP2R5D,3,Microparticles,Q14738
5551,PRF1,2,Microparticles,P14222
5566,PRKACA,9,Microparticles,P17612
5579,PRKCB,7,Microparticles,P05771
5591,PRKDC,6,Microparticles,P78527
5631,PRPS1,10,Microparticles,P60891
5683,PSMA2,22,Microparticles,P25787
5685,PSMA4,18,Microparticles,P25789
5687,PSMA6,19,Microparticles,P60900
5688,PSMA7,21,Microparticles,O14818
5689,PSMB1,16,Microparticles,P20618
5690,PSMB2,18,Microparticles,P49721
5692,PSMB4,15,Microparticles,P28070
5694,PSMB6,21,Microparticles,P28072
5698,PSMB9,9,Microparticles,P28065
5708,PSMD2,18,Microparticles,Q13200
5713,PSMD7,8,Microparticles,P51665
5720,PSME1,20,Microparticles,Q06323
5721,PSME2,16,Microparticles,Q9UL46
5725,PTBP1,8,Microparticles,P26599
5777,PTPN6,5,Microparticles,P29350
5788,PTPRC,15,Microparticles,P08575
5795,PTPRJ,15,Microparticles,Q12913
5834,PYGB,9,Microparticles,P11216
5859,QARS,3,Microparticles,P47897
5861,RAB1A,28,Microparticles,P62820
5862,RAB2A,23,Microparticles,P61019
5867,RAB4A,10,Microparticles,P20338
5869,RAB5B,24,Microparticles,P61020
5871,MAP4K2,2,Microparticles,Q12851
5878,RAB5C,33,Microparticles,P51148
5880,RAC2,16,Microparticles,P15153
5898,RALA,26,Microparticles,P11233
5901,RAN,19,Microparticles,P62826
5906,RAP1A,26,Microparticles,P62834
5908,RAP1B,28,Microparticles,P61224
5912,RAP2B,22,Microparticles,P61225
6050,RNH1,19,Microparticles,P13489
6051,RNPEP,6,Microparticles,Q9H4A4
6128,RPL6,10,Microparticles,Q02878
6129,RPL7,8,Microparticles,P18124
6132,RPL8,11,Microparticles,P62917
6133,RPL9,12,Microparticles,P32969
6137,RPL13,7,Microparticles,P26373
6138,RPL15,11,Microparticles,P61313
6139,RPL17,7,Microparticles,P18621
6141,RPL18,12,Microparticles,Q07020
6142,RPL18A,7,Microparticles,Q02543
6143,RPL19,11,Microparticles,P84098
6144,RPL21,5,Microparticles,P46778
6152,RPL24,11,Microparticles,P83731
6154,RPL26,8,Microparticles,P61254
6155,RPL27,9,Microparticles,P61353
6157,RPL27A,13,Microparticles,P46776
6158,RPL28,3,Microparticles,P46779
6161,RPL32,6,Microparticles,P62910
6175,RPLP0,12,Microparticles,P05388
6187,RPS2,6,Microparticles,P15880
6188,RPS3,11,Microparticles,P23396
6189,RPS3A,12,Microparticles,P61247
6191,RPS4X,15,Microparticles,P62701
6193,RPS5,9,Microparticles,P46782
6194,RPS6,11,Microparticles,P62753
6201,RPS7,9,Microparticles,P62081
6202,RPS8,14,Microparticles,P62241
6203,RPS9,7,Microparticles,P46781
6204,RPS10,7,Microparticles,P46783
6207,RPS13,11,Microparticles,P62277
6210,RPS15A,13,Microparticles,P62244
6229,RPS24,8,Microparticles,P62847
6301,SARS,7,Microparticles,P49591
6421,SFPQ,6,Microparticles,P23246
6472,SHMT2,13,Microparticles,P34897
6693,SPN,7,Microparticles,P16150
6709,SPTAN1,13,Microparticles,Q13813
6711,SPTBN1,16,Microparticles,Q01082
6723,SRM,6,Microparticles,P19623
6767,ST13,16,Microparticles,P50502
6810,STX4,12,Microparticles,Q12846
6850,SYK,3,Microparticles,P43405
6897,TARS,9,Microparticles,P26639
6950,TCP1,25,Microparticles,P17987
7001,PRDX2,30,Microparticles,P32119
7018,TF,24,Microparticles,P02787
7094,TLN1,22,Microparticles,Q9Y490
7167,TPI1,35,Microparticles,P60174
7184,HSP90B1,16,Microparticles,P14625
7203,CCT3,17,Microparticles,P49368
7247,TSN,4,Microparticles,Q15631
7277,TUBA4A,16,Microparticles,P68366
7284,TUFM,14,Microparticles,P49411
7307,U2AF1,7,Microparticles,Q01081
7317,UBA1,24,Microparticles,P22314
7360,UGP2,14,Microparticles,Q16851
7407,VARS,11,Microparticles,P26640
7408,VASP,12,Microparticles,P50552
7414,VCL,17,Microparticles,P18206
7415,VCP,25,Microparticles,P55072
7416,VDAC1,14,Microparticles,P21796
7430,EZR,41,Microparticles,P15311
7431,VIM,11,Microparticles,P08670
7453,WARS,7,Microparticles,P23381
7520,XRCC5,12,Microparticles,P13010
7529,YWHAB,33,Microparticles,P31946
7534,YWHAZ,36,Microparticles,P63104
7846,TUBA1A,18,Microparticles,Q71U36
7879,RAB7A,17,Microparticles,P51149
8078,USP5,13,Microparticles,P45974
8218,CLTCL1,8,Microparticles,P53675
8239,USP9X,3,Microparticles,Q93008
8294,HIST1H4I,29,Microparticles,P62805
8329,HIST1H2AI,5,Microparticles,P0C0S8
8330,HIST1H2AK,6,Microparticles,P0C0S8
8331,HIST1H2AJ,7,Microparticles,Q99878
8332,HIST1H2AL,6,Microparticles,P0C0S8
8335,HIST1H2AB,15,Microparticles,P04908
8336,HIST1H2AM,6,Microparticles,P0C0S8
8337,HIST2H2AA3,6,Microparticles,Q6FI13
8339,HIST1H2BG,13,Microparticles,P62807
8343,HIST1H2BF,13,Microparticles,P62807
8344,HIST1H2BE,13,Microparticles,P62807
8346,HIST1H2BI,12,Microparticles,P62807
8347,HIST1H2BC,13,Microparticles,P62807
8350,HIST1H3A,8,Microparticles,P68431
8351,HIST1H3D,9,Microparticles,P68431
8352,HIST1H3C,9,Microparticles,P68431
8353,HIST1H3E,8,Microparticles,P68431
8354,HIST1H3I,8,Microparticles,P68431
8355,HIST1H3G,9,Microparticles,P68431
8356,HIST1H3J,9,Microparticles,P68431
8357,HIST1H3H,9,Microparticles,P68431
8358,HIST1H3B,8,Microparticles,P68431
8359,HIST1H4A,28,Microparticles,P62805
8360,HIST1H4D,28,Microparticles,P62805
8361,HIST1H4F,28,Microparticles,P62805
8362,HIST1H4K,29,Microparticles,P62805
8363,HIST1H4J,28,Microparticles,P62805
8364,HIST1H4C,29,Microparticles,P62805
8365,HIST1H4H,29,Microparticles,P62805
8366,HIST1H4B,29,Microparticles,P62805
8367,HIST1H4E,29,Microparticles,P62805
8368,HIST1H4L,28,Microparticles,P62805
8370,HIST2H4A,28,Microparticles,P62805
8451,CUL4A,6,Microparticles,Q13619
8508,NIPSNAP1,6,Microparticles,Q9BPW8
8607,RUVBL1,21,Microparticles,Q9Y265
8615,USO1,9,Microparticles,O60763
8661,EIF3A,6,Microparticles,Q14152
8662,EIF3B,11,Microparticles,P55884
8663,EIF3C,2,Microparticles,Q99613
8667,EIF3H,4,Microparticles,O15372
8668,EIF3I,8,Microparticles,Q13347
8766,RAB11A,18,Microparticles,P62491
8801,SUCLG2,9,Microparticles,Q96I99
8826,IQGAP1,21,Microparticles,P46940
8895,CPNE3,23,Microparticles,O75131
8968,HIST1H3F,9,Microparticles,P68431
8969,HIST1H2AG,6,Microparticles,P0C0S8
9093,DNAJA3,4,Microparticles,Q96EY1
9097,USP14,15,Microparticles,P54578
9230,RAB11B,18,Microparticles,Q15907
9520,NPEPPS,11,Microparticles,P55786
9559,VPS26A,10,Microparticles,O75436
9588,PRDX6,29,Microparticles,P30041
9632,SEC24C,6,Microparticles,P53992
9936,CD302,2,Microparticles,Q8IX05
9948,WDR1,18,Microparticles,O75083
9961,MVP,14,Microparticles,Q14764
10015,PDCD6IP,27,Microparticles,Q8WUM4
10072,DPP3,5,Microparticles,Q9NY33
10093,ARPC4,21,Microparticles,P59998
10094,ARPC3,11,Microparticles,O15145
10095,ARPC1B,4,Microparticles,O15143
10096,ACTR3,18,Microparticles,P61158
10097,ACTR2,15,Microparticles,P61160
10109,ARPC2,15,Microparticles,O15144
10121,ACTR1A,11,Microparticles,P61163
10128,LRPPRC,12,Microparticles,P42704
10168,ZNF197,2,Microparticles,O14709
10211,FLOT1,30,Microparticles,O75955
10236,HNRNPR,9,Microparticles,O43390
10376,TUBA1B,12,Microparticles,P68363
10383,TUBB4B,14,Microparticles,P68371
10399,GNB2L1,17,Microparticles,P63244
10483,SEC23B,3,Microparticles,Q15437
10487,CAP1,20,Microparticles,Q01518
10527,IPO7,3,Microparticles,O95373
