ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
5004,ORM1,11,Exosomes,P02763
5005,ORM2,3,Exosomes,P19652
5037,PEBP1,32,Exosomes,P30086
5052,PRDX1,47,Exosomes,Q06830
5093,PCBP1,35,Exosomes,Q15365
5094,PCBP2,28,Exosomes,Q15366
5175,PECAM1,21,Exosomes,P16284
5184,PEPD,9,Exosomes,P12955
5204,PFDN5,23,Exosomes,Q99471
5211,PFKL,27,Exosomes,P17858
5214,PFKP,29,Exosomes,Q01813
5216,PFN1,48,Exosomes,P07737
5223,PGAM1,31,Exosomes,P18669
5226,PGD,38,Exosomes,P52209
5230,PGK1,47,Exosomes,P00558
5236,PGM1,26,Exosomes,P36871
5269,SERPINB6,20,Exosomes,P35237
5272,SERPINB9,19,Exosomes,P50453
5315,PKM,63,Exosomes,P14618
5336,PLCG2,26,Exosomes,P16885
5478,PPIA,54,Exosomes,P62937
5479,PPIB,34,Exosomes,P23284
5499,PPP1CA,24,Exosomes,P62136
5500,PPP1CB,23,Exosomes,P62140
5501,PPP1CC,26,Exosomes,P36873
5518,PPP2R1A,34,Exosomes,P30153
5566,PRKACA,25,Exosomes,P17612
5579,PRKCB,18,Exosomes,P05771
5591,PRKDC,33,Exosomes,P78527
5594,MAPK1,39,Exosomes,P28482
5631,PRPS1,28,Exosomes,P60891
5634,PRPS2,16,Exosomes,P11908
5644,PRSS1,4,Exosomes,P07477
5683,PSMA2,39,Exosomes,P25787
5684,PSMA3,29,Exosomes,P25788
5685,PSMA4,30,Exosomes,P25789
5686,PSMA5,29,Exosomes,P28066
5688,PSMA7,40,Exosomes,O14818
5689,PSMB1,38,Exosomes,P20618
5691,PSMB3,31,Exosomes,P49720
5699,PSMB10,21,Exosomes,P40306
5705,PSMC5,30,Exosomes,P62195
5711,PSMD5,29,Exosomes,Q16401
5717,PSMD11,34,Exosomes,O00231
5718,PSMD12,30,Exosomes,O00232
5720,PSME1,32,Exosomes,Q06323
5721,PSME2,31,Exosomes,Q9UL46
5725,PTBP1,25,Exosomes,P26599
5768,QSOX1,22,Exosomes,O00391
5777,PTPN6,25,Exosomes,P29350
5788,PTPRC,36,Exosomes,P08575
5790,PTPRCAP,3,Exosomes,Q14761
5813,PURA,19,Exosomes,Q00577
5834,PYGB,35,Exosomes,P11216
5861,RAB1A,39,Exosomes,P62820
5868,RAB5A,32,Exosomes,P20339
5869,RAB5B,31,Exosomes,P61020
5878,RAB5C,34,Exosomes,P51148
5879,RAC1,41,Exosomes,P63000
5880,RAC2,26,Exosomes,P15153
5901,RAN,45,Exosomes,P62826
5906,RAP1A,38,Exosomes,P62834
5908,RAP1B,46,Exosomes,P61224
5911,RAP2A,36,Exosomes,P10114
5912,RAP2B,36,Exosomes,P61225
5962,RDX,36,Exosomes,P35241
5965,RECQL,37,Exosomes,P46063
6050,RNH1,27,Exosomes,P13489
6051,RNPEP,25,Exosomes,Q9H4A4
6117,RPA1,26,Exosomes,P27694
6128,RPL6,35,Exosomes,Q02878
6129,RPL7,43,Exosomes,P18124
6130,RPL7A,44,Exosomes,P62424
6133,RPL9,31,Exosomes,P32969
6135,RPL11,37,Exosomes,P62913
6136,RPL12,34,Exosomes,P30050
6137,RPL13,42,Exosomes,P26373
6138,RPL15,45,Exosomes,P61313
6139,RPL17,30,Exosomes,P18621
6141,RPL18,40,Exosomes,Q07020
6157,RPL27A,33,Exosomes,P46776
6175,RPLP0,38,Exosomes,P05388
6176,RPLP1,31,Exosomes,P05386
6181,RPLP2,28,Exosomes,P05387
6185,RPN2,17,Exosomes,P04844
6187,RPS2,37,Exosomes,P15880
6188,RPS3,43,Exosomes,P23396
6191,RPS4X,36,Exosomes,P62701
6193,RPS5,25,Exosomes,P46782
6201,RPS7,32,Exosomes,P62081
6203,RPS9,29,Exosomes,P46781
6204,RPS10,29,Exosomes,P46783
6207,RPS13,37,Exosomes,P62277
6208,RPS14,37,Exosomes,P62263
6209,RPS15,26,Exosomes,P62841
6210,RPS15A,35,Exosomes,P62244
6217,RPS16,36,Exosomes,P62249
6222,RPS18,34,Exosomes,P62269
6224,RPS20,26,Exosomes,P60866
6229,RPS24,30,Exosomes,P62847
6230,RPS25,26,Exosomes,P62851
6231,RPS26,14,Exosomes,P62854
6237,RRAS,26,Exosomes,P10301
6275,S100A4,24,Exosomes,P26447
6277,S100A6,30,Exosomes,P06703
6279,S100A8,27,Exosomes,P05109
6280,S100A9,21,Exosomes,P06702
6282,S100A11,26,Exosomes,P31949
6291,SAA4,1,Exosomes,P35542
6386,SDCBP,41,Exosomes,O00560
6404,SELPLG,32,Exosomes,Q14242
6421,SFPQ,23,Exosomes,P23246
6426,SRSF1,30,Exosomes,Q07955
6427,SRSF2,27,Exosomes,Q01130
6432,SRSF7,28,Exosomes,Q16629
6462,SHBG,1,Exosomes,P04278
6509,SLC1A4,35,Exosomes,P43007
6510,SLC1A5,41,Exosomes,Q15758
6520,SLC3A2,49,Exosomes,P08195
6573,SLC19A1,25,Exosomes,P41440
6613,SUMO2,17,Exosomes,P61956
6633,SNRPD2,29,Exosomes,P62316
6643,SNX2,23,Exosomes,O60749
6693,SPN,23,Exosomes,P16150
6714,SRC,33,Exosomes,P12931
6717,SRI,31,Exosomes,P30626
6727,SRP14,28,Exosomes,P37108
6738,TROVE2,16,Exosomes,P10155
6741,SSB,21,Exosomes,P05455
6742,SSBP1,25,Exosomes,Q04837
6767,ST13,24,Exosomes,P50502
6789,STK4,16,Exosomes,Q13043
6813,STXBP2,14,Exosomes,Q15833
6844,VAMP2,22,Exosomes,P63027
6856,SYPL1,28,Exosomes,Q16563
6888,TALDO1,28,Exosomes,P37837
6906,SERPINA7,2,Exosomes,P05543
6950,TCP1,46,Exosomes,P17987
7001,PRDX2,37,Exosomes,P32119
7094,TLN1,43,Exosomes,Q9Y490
7150,TOP1,29,Exosomes,P11387
7167,TPI1,38,Exosomes,P60174
7184,HSP90B1,36,Exosomes,P14625
7203,CCT3,41,Exosomes,P49368
7273,TTN,35,Exosomes,Q8WZ42
7276,TTR,4,Exosomes,P02766
7277,TUBA4A,40,Exosomes,P68366
7280,TUBB2A,34,Exosomes,Q13885
7284,TUFM,30,Exosomes,P49411
7295,TXN,36,Exosomes,P10599
7316,UBC,13,Exosomes,P0CG48
7317,UBA1,48,Exosomes,P22314
7415,VCP,47,Exosomes,P55072
7430,EZR,52,Exosomes,P15311
7431,VIM,39,Exosomes,P08670
7453,WARS,30,Exosomes,P23381
7514,XPO1,25,Exosomes,O14980
7520,XRCC5,41,Exosomes,P13010
7529,YWHAB,42,Exosomes,P31946
7531,YWHAE,53,Exosomes,P62258
7532,YWHAG,45,Exosomes,P61981
7533,YWHAH,39,Exosomes,Q04917
7534,YWHAZ,52,Exosomes,P63104
7757,ZNF208,1,Exosomes,O43345
7846,TUBA1A,32,Exosomes,Q71U36
7852,CXCR4,27,Exosomes,P61073
7879,RAB7A,37,Exosomes,P51149
7913,DEK,18,Exosomes,P35659
7919,DDX39B,31,Exosomes,Q13838
8115,TCL1A,2,Exosomes,P56279
8170,SLC14A2,1,Exosomes,Q15849
8294,HIST1H4I,25,Exosomes,P62805
8350,HIST1H3A,30,Exosomes,P68431
8351,HIST1H3D,10,Exosomes,P68431
8352,HIST1H3C,10,Exosomes,P68431
8353,HIST1H3E,10,Exosomes,P68431
8354,HIST1H3I,10,Exosomes,P68431
8355,HIST1H3G,10,Exosomes,P68431
8356,HIST1H3J,10,Exosomes,P68431
8357,HIST1H3H,10,Exosomes,P68431
8358,HIST1H3B,10,Exosomes,P68431
8359,HIST1H4A,44,Exosomes,P62805
8360,HIST1H4D,23,Exosomes,P62805
8361,HIST1H4F,23,Exosomes,P62805
8362,HIST1H4K,23,Exosomes,P62805
8363,HIST1H4J,23,Exosomes,P62805
8364,HIST1H4C,23,Exosomes,P62805
8365,HIST1H4H,23,Exosomes,P62805
8366,HIST1H4B,23,Exosomes,P62805
8367,HIST1H4E,23,Exosomes,P62805
8368,HIST1H4L,23,Exosomes,P62805
8370,HIST2H4A,23,Exosomes,P62805
8407,TAGLN2,34,Exosomes,P37802
8417,STX7,28,Exosomes,O15400
8455,ATRN,22,Exosomes,O75882
8473,OGT,14,Exosomes,O15294
8539,API5,20,Exosomes,Q9BZZ5
8559,PRPF18,2,Exosomes,Q99633
8661,EIF3A,25,Exosomes,Q14152
8663,EIF3C,28,Exosomes,Q99613
8667,EIF3H,30,Exosomes,O15372
8673,VAMP8,19,Exosomes,Q9BV40
8773,SNAP23,38,Exosomes,O00161
