ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
6850,P43405,SYK,3,Exosomes
6897,P26639,TARS,25,Exosomes
6950,P17987,TCP1,51,Exosomes
7001,P32119,PRDX2,51,Exosomes
7018,P02787,TF,41,Exosomes
7094,Q9Y490,TLN1,50,Exosomes
7167,P60174,TPI1,76,Exosomes
7184,P14625,HSP90B1,57,Exosomes
7203,P49368,CCT3,54,Exosomes
7247,Q15631,TSN,12,Exosomes
7277,P68366,TUBA4A,55,Exosomes
7284,P49411,TUFM,22,Exosomes
7317,P22314,UBA1,52,Exosomes
7360,Q16851,UGP2,33,Exosomes
7407,P26640,VARS,21,Exosomes
7408,P50552,VASP,29,Exosomes
7414,P18206,VCL,41,Exosomes
7415,P55072,VCP,57,Exosomes
7416,P21796,VDAC1,18,Exosomes
7430,P15311,EZR,72,Exosomes
7431,P08670,VIM,39,Exosomes
7453,P23381,WARS,33,Exosomes
7520,P13010,XRCC5,40,Exosomes
7529,P31946,YWHAB,63,Exosomes
7534,P63104,YWHAZ,72,Exosomes
7846,Q71U36,TUBA1A,61,Exosomes
7879,P51149,RAB7A,65,Exosomes
8078,P45974,USP5,19,Exosomes
8218,P53675,CLTCL1,15,Exosomes
8239,Q93008,USP9X,20,Exosomes
8331,Q99878,HIST1H2AJ,13,Exosomes
8451,Q13619,CUL4A,13,Exosomes
8508,Q9BPW8,NIPSNAP1,5,Exosomes
8607,Q9Y265,RUVBL1,26,Exosomes
8615,O60763,USO1,14,Exosomes
8661,Q14152,EIF3A,21,Exosomes
8662,P55884,EIF3B,19,Exosomes
8663,Q99613,EIF3C,22,Exosomes
8667,O15372,EIF3H,16,Exosomes
8668,Q13347,EIF3I,24,Exosomes
8766,P62491,RAB11A,34,Exosomes
8801,Q96I99,SUCLG2,4,Exosomes
8826,P46940,IQGAP1,57,Exosomes
8895,O75131,CPNE3,33,Exosomes
9097,P54578,USP14,13,Exosomes
9230,Q15907,RAB11B,28,Exosomes
9520,P55786,NPEPPS,20,Exosomes
9559,O75436,VPS26A,12,Exosomes
9588,P30041,PRDX6,50,Exosomes
9632,P53992,SEC24C,13,Exosomes
9948,O75083,WDR1,45,Exosomes
9961,Q14764,MVP,36,Exosomes
10015,Q8WUM4,PDCD6IP,125,Exosomes
10072,Q9NY33,DPP3,17,Exosomes
10093,P59998,ARPC4,43,Exosomes
10094,O15145,ARPC3,39,Exosomes
