ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
7247,TSN,16,Microparticles,Q15631
7277,TUBA4A,66,Microparticles,P68366
7284,TUFM,26,Microparticles,P49411
7307,U2AF1,6,Microparticles,Q01081
7317,UBA1,85,Microparticles,P22314
7360,UGP2,53,Microparticles,Q16851
7407,VARS,32,Microparticles,P26640
7408,VASP,45,Microparticles,P50552
7414,VCL,71,Microparticles,P18206
7415,VCP,88,Microparticles,P55072
7416,VDAC1,42,Microparticles,P21796
7430,EZR,112,Microparticles,P15311
7431,VIM,52,Microparticles,P08670
7453,WARS,49,Microparticles,P23381
7520,XRCC5,47,Microparticles,P13010
7529,YWHAB,96,Microparticles,P31946
7534,YWHAZ,119,Microparticles,P63104
7846,TUBA1A,70,Microparticles,Q71U36
7879,RAB7A,94,Microparticles,P51149
8078,USP5,36,Microparticles,P45974
8218,CLTCL1,33,Microparticles,P53675
8239,USP9X,24,Microparticles,Q93008
8294,HIST1H4I,92,Microparticles,P62805
8329,HIST1H2AI,17,Microparticles,P0C0S8
8330,HIST1H2AK,18,Microparticles,P0C0S8
8331,HIST1H2AJ,23,Microparticles,Q99878
8332,HIST1H2AL,17,Microparticles,P0C0S8
8335,HIST1H2AB,53,Microparticles,P04908
8336,HIST1H2AM,17,Microparticles,P0C0S8
8337,HIST2H2AA3,33,Microparticles,Q6FI13
8339,HIST1H2BG,39,Microparticles,P62807
8343,HIST1H2BF,36,Microparticles,P62807
8344,HIST1H2BE,36,Microparticles,P62807
8346,HIST1H2BI,36,Microparticles,P62807
8347,HIST1H2BC,36,Microparticles,P62807
8350,HIST1H3A,26,Microparticles,P68431
8351,HIST1H3D,23,Microparticles,P68431
8352,HIST1H3C,23,Microparticles,P68431
8353,HIST1H3E,23,Microparticles,P68431
8354,HIST1H3I,23,Microparticles,P68431
8355,HIST1H3G,23,Microparticles,P68431
8356,HIST1H3J,23,Microparticles,P68431
8357,HIST1H3H,23,Microparticles,P68431
8358,HIST1H3B,23,Microparticles,P68431
8359,HIST1H4A,90,Microparticles,P62805
8360,HIST1H4D,89,Microparticles,P62805
8361,HIST1H4F,89,Microparticles,P62805
8362,HIST1H4K,89,Microparticles,P62805
8363,HIST1H4J,89,Microparticles,P62805
8364,HIST1H4C,89,Microparticles,P62805
8365,HIST1H4H,89,Microparticles,P62805
8366,HIST1H4B,89,Microparticles,P62805
8367,HIST1H4E,89,Microparticles,P62805
8368,HIST1H4L,89,Microparticles,P62805
8370,HIST2H4A,92,Microparticles,P62805
8451,CUL4A,20,Microparticles,Q13619
8508,NIPSNAP1,8,Microparticles,Q9BPW8
8607,RUVBL1,46,Microparticles,Q9Y265
8615,USO1,25,Microparticles,O60763
8661,EIF3A,28,Microparticles,Q14152
8662,EIF3B,31,Microparticles,P55884
8663,EIF3C,21,Microparticles,Q99613
8667,EIF3H,17,Microparticles,O15372
8668,EIF3I,30,Microparticles,Q13347
8766,RAB11A,60,Microparticles,P62491
8801,SUCLG2,11,Microparticles,Q96I99
8826,IQGAP1,87,Microparticles,P46940
8895,CPNE3,70,Microparticles,O75131
8968,HIST1H3F,23,Microparticles,P68431
8969,HIST1H2AG,17,Microparticles,P0C0S8
9093,DNAJA3,2,Microparticles,Q96EY1
9097,USP14,33,Microparticles,P54578
9230,RAB11B,60,Microparticles,Q15907
9520,NPEPPS,47,Microparticles,P55786
9559,VPS26A,23,Microparticles,O75436
9588,PRDX6,96,Microparticles,P30041
9632,SEC24C,21,Microparticles,P53992
9936,CD302,1,Microparticles,Q8IX05
9948,WDR1,66,Microparticles,O75083
9961,MVP,52,Microparticles,Q14764
10015,PDCD6IP,121,Microparticles,Q8WUM4
10072,DPP3,22,Microparticles,Q9NY33
10093,ARPC4,68,Microparticles,P59998
10094,ARPC3,48,Microparticles,O15145
10095,ARPC1B,36,Microparticles,O15143
10096,ACTR3,63,Microparticles,P61158
10097,ACTR2,65,Microparticles,P61160
10109,ARPC2,62,Microparticles,O15144
10121,ACTR1A,50,Microparticles,P61163
10128,LRPPRC,15,Microparticles,P42704
10168,ZNF197,2,Microparticles,O14709
10211,FLOT1,96,Microparticles,O75955
10236,HNRNPR,33,Microparticles,O43390
10376,TUBA1B,66,Microparticles,P68363
10383,TUBB4B,61,Microparticles,P68371
10399,GNB2L1,51,Microparticles,P63244
10483,SEC23B,13,Microparticles,Q15437
10487,CAP1,80,Microparticles,Q01518
10527,IPO7,24,Microparticles,O95373
10539,GLRX3,15,Microparticles,O76003
10574,CCT7,70,Microparticles,Q99832
10575,CCT4,66,Microparticles,P50991
10576,CCT2,91,Microparticles,P78371
10672,GNA13,82,Microparticles,Q14344
10694,CCT8,74,Microparticles,P50990
10890,RAB10,96,Microparticles,P61026
10971,YWHAQ,102,Microparticles,P27348
11021,RAB35,62,Microparticles,Q15286
11151,CORO1A,40,Microparticles,P31146
22800,RRAS2,35,Microparticles,P62070
22820,COPG1,31,Microparticles,Q9Y678
22931,RAB18,24,Microparticles,Q9NP72
22948,CCT5,77,Microparticles,P48643
23011,RAB21,43,Microparticles,Q9UL25
23157,SEPT6,14,Microparticles,Q14141
23317,DNAJC13,21,Microparticles,O75165
23406,COTL1,35,Microparticles,Q14019
23521,RPL13A,26,Microparticles,P40429
25873,RPL36,16,Microparticles,Q9Y3U8
25934,NIPSNAP3A,7,Microparticles,Q9UFN0
26140,TTLL3,12,Microparticles,Q9Y4R7
26578,OSTF1,16,Microparticles,Q92882
26958,COPG2,14,Microparticles,Q9UBF2
30845,EHD3,38,Microparticles,Q9NZN3
51035,UBXN1,4,Microparticles,Q04323
51552,RAB14,87,Microparticles,P61106
51762,RAB8B,65,Microparticles,Q92930
55577,NAGK,25,Microparticles,Q9UJ70
55619,DOCK10,16,Microparticles,Q96BY6
55737,VPS35,51,Microparticles,Q96QK1
55748,CNDP2,49,Microparticles,Q96KP4
56138,PCDHA11,2,Microparticles,Q9Y5I1
56616,DIABLO,4,Microparticles,Q9NR28
60412,EXOC4,9,Microparticles,Q96A65
79026,AHNAK,50,Microparticles,Q09666
79585,CORO7,16,Microparticles,P57737
81704,DOCK8,10,Microparticles,Q8NF50
81876,RAB1B,71,Microparticles,Q9H0U4
83706,FERMT3,46,Microparticles,Q86UX7
84790,TUBA1C,47,Microparticles,Q9BQE3
84836,ABHD14B,33,Microparticles,Q96IU4
85235,HIST1H2AH,25,Microparticles,Q96KK5
121504,HIST4H4,90,Microparticles,P62805
126961,HIST2H3C,27,Microparticles,Q71DI3
203068,TUBB,90,Microparticles,P07437
221823,PRPS1L1,5,Microparticles,P21108
